Id,Nome,Latitudine,Longitudine,Categoria,Indirizzo,Comune,Provincia,Email,Telefono,SiglaProvincia,Valutazione,EsisteValutazione
743rb,"Ristorante ""il Cantinone",43.766466,11.247524,Ristorante,"Piazza S. Spirito, 6/r",Firenze,Firenze,ilcantinone@libero.it,055 218898,FI,1,0
2028rb,La Strega Nocciola - Gelateria Artigianale,43.7670571,11.2538916,Ristorante,Via Dei Bardi 51r,"Ponte Vecchio, Firenze",Firenze,info@lastreganocciola.it,0552382150,FI,1,0
864rb,Osteria Il Magazzino,43.767109,11.250566,Ristorante,"P.Zza Della Passera, 2/3",Firenze,Firenze,luca_cai@virgilio.it,055 215969,FI,1,0
882rb,Bar Trattoria Da Ginone,43.76729,11.24549,Ristorante,"Via Dei Serragli, 35/r",Firenze,Firenze,trattoriaginone@gmail.com,055 218758,FI,1,0
868rb,Ristorante Cavolo Nero,43.767452,11.244982,Ristorante,"Via Dell'ardiglione, 22",Firenze,Firenze,cavolonero@cavolonero.it,055 294744,FI,1,0
877rb,Trattoria Cammillo Sas,43.76779755993,11.25160455374,Ristorante,"Borgo San Jacopo, 57r",Firenze,Firenze,cammillo@momax.it,055 212427,FI,1,0
2745rb,I Toscani,43.7679989,11.2497372,Bottega,Via Maggio 1 R,Firenze,Firenze,direzione@itoscani.it,055289841,FI,1,0
273rb,"Ristorante ""olio & Convivium",43.76818848,11.24962425,Ristorante,"Via S. Spirito, 4",Firenze,Firenze,olio.convivium@conviviumfirenze.it,055 2656267,FI,1,0
1060rb,Ristorante Il Cantinone,43.76827908826,11.24911238847,Ristorante,"Via Santo Spirito, 6r",Firenze,Firenze,ilcantinone@libero.it,055 218898,FI,1,0
2068rb,Kome Sushi & Bbq Restaurant,43.768545,11.2601457,Ristorante,"Via Dei Benci, 41r",Firenze,Firenze,info@komefirenze.it, 055 2008009,FI,1,0
2884rb,Da Pescatore Casa Di Cucina,43.768566,11.2444864,Ristorante,Piazza Del Carmine 7r,Firenze,Firenze,dp@dapescatore.it,055219978,FI,1,0
2635rb,Le Fate,43.7689428,11.263869,Ristorante,Borgo Allegri N.9r,Firenze,Firenze,ristorantelefate@gmail.com,055/3841998,FI,1,0
204rb,"Ristorante ""totò",43.769014,11.253545,Ristorante,"Borgo Santi Apostoli, 6/r",Firenze,Firenze,rist.toto@tin.it,055 212096,FI,1,0
867rb,Baccarossa,43.7695163,11.2652166,Ristorante,"Via Ghibellina, 46r",Firenze,Firenze,info@baccarossa.it,055 240620,FI,1,0
1398rb,Ristorante Bacca Rossa,43.7695187676,11.26500965376,Ristorante,Via Ghibellina 46/r,Firenze,Firenze,info@baccarossa.it,055/240620,FI,1,0
3033rb,Peppino,43.7695604,11.2558136,Bottega,97 Avenue Emile Vincent,"Toulon, Francia, Firenze",Firenze,peppinosas@outlook.fr,0033494935120,FI,1,0
3202rb,Tuscanbites,43.7696666,11.2592632,Ristorante,Via Dell'anguillara,Firenze,Firenze,info@tuscanbites.com,0550464760,FI,1,0
1401rb,Hostaria Il Desco,43.7697111,11.2529006,Ristorante,Via Delle Terme 23/r,Firenze,Firenze,hostariaildesco@yahoo.it,055/294882,FI,1,0
2968rb,Aroma Ristorante In Firenze,43.7697371,11.2638845,Ristorante,Via Ghibellina 67r,Firenze,Firenze,info@aroma-ristorante.it,0552260038,FI,1,0
858rb,Bar S.Firenze,43.769751,11.257623,Ristorante,"Piazza San Firenze, 1/r",Firenze,Firenze,barsanfirenze@tele2.it,055 211426,FI,1,0
2942rb,La Bocca Di Leone,43.7698167,11.2061316,Ristorante,Via Pisana N. 39r,Firenze,Firenze,lapoalessandri@commercialisti.fi.it,3397544092 - 0552344978,FI,1,0
269rb,Osteria Del Caffè Italiano,43.770063,11.260292,Ristorante,"Via Dell'isola Delle Stinche, 11/13r",Firenze,Firenze,info@caffeitaliano.it,055 289080,FI,1,0
248rb,"Ristorante ""la Maremma",43.77007293701,11.26135063171,Ristorante,"Via G. Verdi, 16/r",Firenze,Firenze,info@ristorantelamaremma.it,055 240972,FI,1,0
289rb,"Ristorante ""grotta Guelfa",43.77008,11.253562,Ristorante,"Via Pellicceria, 5/r",Firenze,Firenze,info@grottaguelfa.it,055 268041,FI,1,0
2550rb,Gilda Bistrot,43.7701622,11.2665573,Ristorante,Piazza Ghiberti,Firenze,Firenze,info@gildabistrot.it,0552343885,FI,1,0
869rb,Ristorante Gustavino,43.770203,11.25679,Ristorante,"Via Della Condotta, 29/37r",Firenze,Firenze,www.gustavino.it,055 2399806,FI,1,0
889rb,Boccanegra,43.770325,11.2613612,Ristorante,"Via Ghibellina, 124/r",Firenze,Firenze,info@boccanegra.com,055 2001098,FI,1,0
862rb,Osteria Dei Macci,43.770389,11.265959,Ristorante,"Via Dei Macci, 77/r",Firenze,Firenze,osteria@osteriadeimacci.it,055 241226,FI,1,0
3221rb,F.Sottili Gioielleria Orologeria,43.77039,11.27402,Bottega,Via Gioberti 100r,Firenze,Firenze,info@sottili.com,055.9152013,FI,1,0
3223rb,F.Sottili Gioielleria Orologeria,43.77039,11.27402,Bottega,Via Gioberti 100r,Firenze,Firenze,info@sottili.com,055.9152013,FI,1,0
747rb,"Ristorante ""all'antico Ristoro Di Cambi",43.7704255,11.2420202,Ristorante,"Via S. Onofrio, 1/r",Firenze,Firenze,info@anticoristorodicambi.it,055 217134,FI,1,0
2727rb,L'ortone,43.7706,11.26736,Ristorante,Piazza Ghiberti 87r,"Sant'ambrogio, Firenze",Firenze,info@lortone.it,055 2340804,FI,1,0
2948rb,La Bottega Del Pane - Forno Artigianale Produzione Propria,43.770797,11.2210005,Bottega,Via Pisana 214/r,"Convento Di Monticelli, Firenze",Firenze,labottegadelpanedipriamo@gmail.com,3922910242,FI,1,0
270rb,"Ristorante ""angels Restaurant & Wine Bar",43.770936,11.257875,Ristorante,"Via Del Proconsolo, 29/31",Firenze,Firenze,info@ristoranteangels.it,055 2398762,FI,1,0
3216rb,I' Tuscani 3,43.7709407,11.2564886,Ristorante,"V. Dante Alighieri, 18r",Firenze,Firenze,albertoflorindo@ituscani.com,3400527612,FI,1,0
2637rb,5ecinque,43.7710332,11.2480006,Ristorante,P.Zza Della Passera 1,Firenze,Firenze,info@5ecinque.it,.055.2741583,FI,1,0
860rb,Caffè Del '900,43.771269,11.247453,Ristorante,"Borgo Ognissanti, 3/r",Firenze,Firenze,"caffedel900@aol.it,axcsar@tin.it",055 218390,FI,1,0
1296rb,Vecchia Firenze,43.7713315,11.2618669,Ristorante,Borgo Albizi 18 / 76 R,Firenze,Firenze,vecchia.firenze@libero.it,055 - 2340361 - 2,FI,1,0
2472rb,Mastro Ciliegia Ristorante,43.7713421,11.2614926,Ristorante,Piazza San Pier Maggiore,Firenze,Firenze,alessandraiozzo@gmail.com,0552480964,FI,1,0
2788rb,Toscana Biologica,43.7713847,11.2118449,Bottega,"Via G.B. Foggini, 22",Firenze,Firenze,tobio@toscanabiologica.it,0557322620,FI,1,0
2042rb,Ristoprova,43.7714205,11.2654928,Ristorante,"Via Pietrapiana, 30",Firenze,Firenze,SUSANNA.PELAGANI@REGIONE.TOSCANA.IT,0554383079,FI,1,0
866rb,Plaz Srl,43.77142097528,11.26363763951,Ristorante,"Via Pietrapiana, 36r",Firenze,Firenze,pierluigiurbini@hotmail.com,055 242081,FI,1,0
2395rb,L’osteria Di Giovanni,43.7714558,11.2485569,Ristorante,"Via Del Moro, 22",Firenze,Firenze,losteriadigiovanni@gmail.com,055 284897,FI,1,0
870rb,Ristorante I Ghibellini,43.771462,11.261437,Ristorante,"P.Zza S.P.Maggiore, 8/10r",Firenze,Firenze,info@ighibellini.com,055 214424,FI,1,0
1406rb,Ristorante Il Paiolo,43.7714867,11.2563363,Ristorante,Via Del Corso 42/r,Firenze,Firenze,info@ristoranteilpaiolo.it,055/215019,FI,1,0
2633rb,Miso Di Riso,43.771491,11.2606522,Ristorante,Borgo Degli Albizi 54r,Firenze,Firenze,info@misodiriso.it,055 2654094,FI,1,0
1057rb,Hotel Helvetia & Bristol E Ristorante Hosteria Bibendum,43.771581,11.252202,Ristorante,"Via Dei Pescioni, 2",Firenze,Firenze,information.hbf@royaldemeure.com,055 26651,FI,1,0
886rb,Ristorante Da Lino,43.7717211,11.2560911,Ristorante,"Via Santa Elisabetta, 6/r",Firenze,Firenze,ristdalino@virgilio.it,055 284579,FI,1,0
2642rb,La Pentola Dell'oro,43.7719879,11.2646995,Ristorante,Via Di Mezzo 22/24/26 R,Firenze,Firenze,info@lapentoladelloro.it,3332021442,FI,1,0
2641rb,La Pentola Dell'oro,43.7719879,11.2646995,Ristorante,"Via Di Mezzo, 22,24,26 R",Firenze,Firenze,info@lapentoladelloro.it,055243773,FI,1,0
1051rb,Cantina Barbagianni,43.7723346,11.2609135,Ristorante,"Via S. Egidio, 13r",Firenze,Firenze,info@cantinabarbagianni.it,055 2480508,FI,1,0
566rb,"Ristorante ""sei Divino Florence Wine Gallery",43.772335,11.245839,Ristorante,"Borgo Ognissanti, 42/r",Firenze,Firenze,winegallery@seidivino.it,055 217791,FI,1,0
2473rb,Caffetteria Delle Oblate,43.7723447,11.2597448,Ristorante,Via Dell'oriuolo 26,Firenze,Firenze,barbara.setti@archeologia.it,0552639286,FI,1,0
2105rb,Ristorante La Martinicca,43.7723513,11.2499735,Ristorante,Via Del Sole 27/r,Firenze,Firenze,info@ristorante-lamartinicca.com,055-218928,FI,1,0
2673rb,Pizzaudace,43.7728575,11.2207072,Ristorante,Via Dosio 77/b,"Legnaia, Firenze",Firenze,pizzaudace@gmail.com,0557135051,FI,1,0
2000rb,Piazza Del Vino,43.7732082,11.2825951,Ristorante,"Via Della Torretta, 18r",Firenze,Firenze,piazzadelvino@hotmail.it,055 671404,FI,1,0
1068rb,Giglio Rosso,43.773994,11.25116,Ristorante,Via Panzani 35 R,Firenze,Firenze,info@ristorantegigliorosso.com,055 211795 ,FI,1,0
1063rb,Rostorante Giglio Rosso,43.773994,11.25116,Ristorante,Via Panzani 35 R,Firenze,Firenze,info@ristorantegigliorosso.com,055 211795 ,FI,1,0
888rb,Trattoria La Madia,43.7741,11.251553,Ristorante,"Via Del Giglio, 14/r",Firenze,Firenze,trattorialamadiafi@alice.it,055 218563,FI,1,0
884rb,Ristorante Sabatini,43.77423159813,11.25079005368,Ristorante,"Via Panzani, 9a",Firenze,Firenze,info@ristorantesabatini.it,055 211559,FI,1,0
288rb,"Ristorante ""giannino In S. Lorenzo"" Di Bartoloni R. & C. Sas",43.77431488,11.25488949,Ristorante,"Via Borgo S. Lorenzo, 35/37r",Firenze,Firenze,info@gianninoinflorence.com, 055 239.97.99 ,FI,1,0
2005rb,Il Pallaio,43.7744513,11.2845456,Ristorante,"Via Damiano Chiesa, 2","Campo Di Marte, Firenze",Firenze,info@ilpallaio.eu,055 679304,FI,1,0
2002rb,Il Povero Pesce,43.7745054,11.2835206,Ristorante,"Via Pier Fortunato Calvi, 8","Campo Di Marte, Firenze",Firenze,info@poveropesce.it,055 671218,FI,1,0
2223rb,Cuco Cucina Contemporanea,43.7747501,11.2514621,Ristorante,Via Del Melarancio 4/r,Firenze,Firenze,bencini.stefano@libero.it,347 5217260,FI,1,0
885rb,Caffè Le Rose,43.7751777,11.2503073,Ristorante,"Piazza Dell'unità Italiana, 1/r",Firenze,Firenze,a.cursano@alice.it,055 218909,FI,1,0
2153rb,Tirabaralla,43.7752216,11.2460866,Ristorante,"Via Della Scala, 28r",Firenze,Firenze,info@tirabaralla.it,055.218.418,FI,1,0
881rb,Trattoria Palle D'oro,43.7758735,11.2527505,Ristorante,Via Sant'antonino 43-45/r,Firenze,Firenze,trattoriapalledoro@gmail.com,055 288383,FI,1,0
2007rb,Aviazione Campo Di Marte,43.7760338,11.2815209,Ristorante,"Viale Malta, 4","Campo Di Marte, Firenze",Firenze,aviazionecampodimarte@virgilio.it,055 5801358,FI,1,0
1055rb,Garibaldi Srl,43.776066,11.254296,Ristorante,"P.Zza Del Mercato Centrale, 38",Firenze,Firenze,info@garibaldi.it,055 212267,FI,1,0
2040rb,Trattoria Da Garibardi,43.77656,11.254013,Ristorante,Piazza Del Mercato Centrale 38r,Firenze,Firenze,info@garibardi.it,055212267,FI,1,0
257rb,"Ristorante ""i Quattro Amici",43.776617,11.246077,Ristorante,"Via Orti Oricellari, 29",Firenze,Firenze,quattroamici@accademiadelgusto.it,055 212992,FI,1,0
871rb,Ristorante La Falterona,43.776698,11.252391,Ristorante,"Via G.B. Zannoni, 10/12r",Firenze,Firenze,claudioconsole@hotmail.com,055 216112,FI,1,0
875rb,Ristorante Vecchio Mercato,43.776919,11.253679,Ristorante,"P.Zza Del Mercato Centrale, 12/r",Firenze,Firenze,info@vecchiomercato.fi.it,055 211978,FI,1,0
883rb,Ristorante Vecchio Casale,43.777139,11.205073,Ristorante,"Via Delle Torri, 7",Firenze,Firenze,info@ristorante-vecchiocasale.com,055 7326162,FI,1,0
2629rb,Fosso Bandito,43.7774745,11.2348749,Ristorante,Via Fosso Macinante 2,Firenze,Firenze,info@fossobandito.com,055365500,FI,1,0
2427rb,Podere Poggio Al Sole,43.7776905,11.255632,Bottega,Via Santa Reparata 7r,"Trespiano, Firenze",Firenze,info@poderepoggioalsole.com,3272021758,FI,1,0
254rb,"Ristorante ""i' Toscano",43.77832621,11.25298351,Ristorante,"Via Guelfa, 70/r",Firenze,Firenze,info@itoscano.it,055 215475,FI,1,0
880rb,Trattoria La Gratella,43.7786609758,11.25200838868,Ristorante,"Via Guelfa, 81r",Firenze,Firenze,ferrara.daniela@hotmail.it,055 211292,FI,1,0
285rb,"Ristorante ""enzo E Piero",43.7788801,11.250398,Ristorante,"Via Faenza, 105/r",Firenze,Firenze,enzoepiero@hotmail.com,055 214901,FI,1,0
2588rb,Osteria Il Piacere,43.7812734,11.3015043,Ristorante,Via Gabriele D'annunzio 149,Firenze,Firenze,info@osteriailpiacere.com,055602605,FI,1,0
2578rb,Enotria Ristorante & Enoteca,43.7812927,11.2381178,Ristorante,"Via Delle Porte Nuove, 50",Firenze,Firenze,enotria@enotriawine.it,055354350,FI,1,0
2778rb,Osteria Re Matto,43.7852,11.27085,Ristorante,Viale Dei Mille 152,Firenze,Firenze,remattofirenze2014@gmail.com,055583851; 3477183636,FI,1,0
872rb,Ristorante La Frasca,43.78847254255,11.26652168689,Ristorante,"Via Faentina, 70r",Firenze,Firenze,lafrasca@tiscali.it,055 571244,FI,1,0
1059rb,Osteria I Riffaioli,43.789073,11.270792,Ristorante,"Via Del Ponte Alle Riffe, 2/4r",Firenze,Firenze,info@osteriairiffaioli.it,055 5088070,FI,1,0
3169rb,Le Cirque Firenze,43.7926554,11.2164775,Ristorante,Via Mario Morosi 11,Firenze,Firenze,jerry@lecirquefirenze.fr,3664140200,FI,1,0
667rb,"Ristorante ""da Burde",43.7958971,11.2034897,Ristorante,"Via Pistoiese, 6/r",Firenze,Firenze,info@daburde.it,055 317206,FI,1,0
2636rb,Bioveggy,43.7960017,11.1464172,Ristorante,Via Erbosa 12r,Firenze,Firenze,info@bioveggy.it,3338359787,FI,1,0
2847rb,Accademia Dei Palati,43.7962422,11.2147719,Ristorante,Via Valdinievole 12 Firenze,"Novoli, Firenze",Firenze,Mauriziozanolla@accademiadeipalati.it,055412051,FI,1,0
2357rb,Rio Freddo,43.7978251,11.2426679,Ristorante,Viale Giovan Battista Morgagni 12a,Firenze,Firenze,riofreddo.fi@gmail.com,055416945,FI,1,0
2561rb,Ristorante Rio Freddo,43.7978251,11.2426679,Ristorante,Viale G.B. Morgagni 10b-12a,Firenze,Firenze,riofreddo.fi@gmail.it,055416945,FI,1,0
3150rb,Bistrot Dell'accademia,43.8086534,11.2012247,Ristorante,Via Valdinievole 12/14,"Novoli, Firenze",Firenze,Maurizio@accademiadeipalati.it,055412051,FI,1,0
251rb,"Ristorante ""lo Zibibbo",43.81669998169,11.25094604492,Ristorante,"Via Di Terzollina, 3",Firenze,Firenze,zibibbofirenze@libero.it   zibibbofirenze@hotmail.com,055 433383,FI,1,0
873rb,Ristorante Lo Strettoio,43.82293084691,11.25296888403,Ristorante,"Via Di Serpiolle, 7",Firenze,Firenze,info@lostrettoio.com,055 4250044,FI,1,0
