id;url;name;category;phone;fax;address;city;province;website;email;facilities;rate;DO_Y;DO_X;PRO_COM;ISTATPRO;ISTATREG
49;http://www.turismo.intoscana.it/booking/html/mappa.php?id=49;HOTEL CITTA';Alberghi - Hotel;0586 839590;0586 205924;VIA DI FRANCO, 32;Livorno;LI;www.hotelcitta.it;info@hotelcitta.it;"Riscaldamento;Aria Condizionata;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Accettazione Animali;Carta di Credito;Bancomat;Propria Autorimessa;Servizio Baby Sitting;Custod";3;43.5497741000;10.3111844000;LIVORNO;LIVORNO;Toscana
58;http://www.turismo.intoscana.it/booking/html/mappa.php?id=58;HOTEL GRAN DUCA;Alberghi - Hotel;0586 891024;0586 891153;PIAZZA G. MICHELI, 16;Livorno;LI;www.granduca.it;granduca@granduca.it;"Accessibilit&agrave; Disabili;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credi";4;43.5496674000;10.3050505000;LIVORNO;LIVORNO;Toscana
65;http://www.turismo.intoscana.it/booking/html/mappa.php?id=65;LA ROSA DEL TIRRENO;Alberghi - Hotel;0586 491153;0586 492105;VIA DEL LITTORALE, 547;Livorno;LI;www.hotelrosadeltirreno.it;info@hotelrosadeltirreno.it;"Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito";3;43.4533530000;10.3758908000;LIVORNO;LIVORNO;Toscana
68;http://www.turismo.intoscana.it/booking/html/mappa.php?id=68;HOTEL REX;Alberghi - Hotel;0586 580400;0586 509586;VIA DEL LITTORALE, 164 - - ANTIGNANO;Livorno;LI;www.hotelrex.it;info@hotelrex.it;"Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito;Servizio Cong";4;43.4918928000;10.3279815000;LIVORNO;LIVORNO;Toscana
74;http://www.turismo.intoscana.it/booking/html/mappa.php?id=74;HOTEL LA VEDETTA;Alberghi - Hotel;0586 579957;0586 579969;VIA DELLA LECCETA, 5;Livorno;LI;www.hotellavedetta.it;info@hotellavedetta.it;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta d";3;43.4903838000;10.3468052000;LIVORNO;LIVORNO;Toscana
77;http://www.turismo.intoscana.it/booking/html/mappa.php?id=77;MAX HOTEL LIVORNO;Alberghi - Hotel;0586 426722;0586 444255;VIA GIOTTO CIARDI, 28;Livorno;LI;www.maxhotels.it;livorno@maxhotels.it;"Aria Condizionata;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito";4;43.5569325000;10.3409176000;LIVORNO;LIVORNO;Toscana
97;http://www.turismo.intoscana.it/booking/html/mappa.php?id=97;HOTEL ATLANTICO;Alberghi - Hotel;0586 752440;0586 752494;VIA DIEGO MARTELLI, 12;Rosignano Marittimo;LI;www.hotelatlantico.it;info@hotelatlantico.it;"Riscaldamento;Aria Condizionata;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio Parcheggio;Trasporto Clienti Stazione;Propria Piscina Scop";3;43.4048724000;10.4089960000;ROSIGNANO MARITTIMO;LIVORNO;Toscana
100;http://www.turismo.intoscana.it/booking/html/mappa.php?id=100;ELBA HOTEL;Alberghi - Hotel;0586 760939;0586 760915;VIA AURELIA, 301;Rosignano Marittimo;LI;www.elbahotel.net;info@elbahotel.net;"Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Accettazione Animali;Proprio Parcheggio;Trasporto Clienti Stazione;Carta di Credito;Bancomat;Servi";3;43.3882979000;10.4375479000;ROSIGNANO MARITTIMO;LIVORNO;Toscana
109;http://www.turismo.intoscana.it/booking/html/mappa.php?id=109;HOTEL PARK;Alberghi - Hotel;0586 752229;0586 758098;VIA F. FELLINI, 19;Rosignano Marittimo;LI;www.hotel-park.it;info@hotel-park.it;"Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito;Servizio Baby Sitting";3;43.4039497000;10.4079636000;ROSIGNANO MARITTIMO;LIVORNO;Toscana
110;http://www.turismo.intoscana.it/booking/html/mappa.php?id=110;PICCOLO HOTEL;Alberghi - Hotel;0586 760145;0586 763891;VIA G. ROSSINI, 5;Rosignano Marittimo;LI;www.hotelrosignano.it;info@hotelrosignano.it;"Aria Condizionata;Bar;Ristorante;Carta di Credito";1;43.3917155000;10.4311186000;ROSIGNANO MARITTIMO;LIVORNO;Toscana
132;http://www.turismo.intoscana.it/booking/html/mappa.php?id=132;RIVA DEGLI ETRUSCHI;Alberghi - Hotel;0565 7199;0565 704011;VIA DELLA PRINCIPESSA, 120;San Vincenzo;LI;www.rivadeglietruschi.it;info@rivadeglietruschi.it;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Wi-Fi;Parco o Giardino Proprio;Ristorante;Proprio Parcheggio;Propria Piscina Scopert";3;43.0728065343;10.5376911163;SAN VINCENZO;LIVORNO;Toscana
134;http://www.turismo.intoscana.it/booking/html/mappa.php?id=134;STELLA MARINA;Alberghi - Hotel;0565 704256;0565 701730;VIA A. COSTA, 9;San Vincenzo;LI;www.stellamarina.it;info@stellamarina.it;"Aria Condizionata;Bar;Ristorante;Carta di Credito;Propria Autorimessa";3;43.0968281000;10.5383299000;SAN VINCENZO;LIVORNO;Toscana
139;http://www.turismo.intoscana.it/booking/html/mappa.php?id=139;HOTEL AURORA;Alberghi - Hotel;0565 704465;0565 705849;VIA ABRUZZO, 4;San Vincenzo;LI;www.hotel-aurora-mare.com;info@hotel-aurora-mare.com;"Aria Condizionata;Bar;Accettazione Animali;Proprio Parcheggio;Carta di Credito";3;43.0875153241;10.5384099483;SAN VINCENZO;LIVORNO;Toscana
141;http://www.turismo.intoscana.it/booking/html/mappa.php?id=141;HOTEL LA SELVA;Alberghi - Hotel;0565 794239;0565 794777;VIA DELLE FORNACI, 32 - MADONNINA;Sassetta;LI;www.hotellaselva.it;hotel.selva@tiscali.it;"Riscaldamento;Bar;Telefono in camera;Servizio Fax;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Mountain Bike;Carta di Credito;Bancomat;Giochi per Bambini;Servizio Colazione in Camera;Accettazione Gruppi;Accesso con Vett";2;43.1291462000;10.6432402000;SASSETTA;LIVORNO;Toscana
145;http://www.turismo.intoscana.it/booking/html/mappa.php?id=145;LA DOLCE VITA;Residenze Turistico Alb.;0565 29390;0565 852006;VIA DI VENTURINA, 18;Campiglia Marittima;LI;www.dolcevita.li.it;info@dolcevita.li.it;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Vendita prodotti agricoli;Servizio Fax;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Accettazione Animali;Proprio Parcheggio;Trasporto Clienti Stazione;Propria Piscina Scoperta;Carta di Cred";2;43.0550995847;10.6151103973;CAMPIGLIA MARITTIMA;LIVORNO;Toscana
146;http://www.turismo.intoscana.it/booking/html/mappa.php?id=146;CAMPASTRELLO SPORT;Residenze Turistico Alb.;0565 765128;0565 765066;VIA DI CAMPASTRELLO, 1;Castagneto Carducci;LI;www.campastrellosport.it;info@campastrellosport.it;"Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Propria Piscina Scoperta;Carta di Credito";3;43.1646687000;10.5971361000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
153;http://www.turismo.intoscana.it/booking/html/mappa.php?id=153;ERBA DI CAMPO;Residenze Turistico Alb.;0586 578383;0586 576182;VIA DI QUARRATA, 4 - CASTELLACCIO MONTENERO;Livorno;LI;www.erbadicampo.com;info@erbadicampo.com;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Frigo Bar;Servizio Fax;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio Parcheggio;Propria Piscina Scoperta;Carta di Credito;Bancomat;Accettazione Gruppi;Accesso con Vetture Pr";2;43.4799306000;10.3787331000;LIVORNO;LIVORNO;Toscana
157;http://www.turismo.intoscana.it/booking/html/mappa.php?id=157;BAIA ETRUSCA;Residenze Turistico Alb.;0565 21070;0565 20947;LOC. TORRE MOZZA - VIGNALE RIOTORTO;Piombino;LI;www.baiaetrusca.it;residencebaiaetrusca@virgilio.it;"Accessibilit&agrave; Disabili;Bar;Frigo Bar;Servizio Fax;Tv Satellitare;Accesso Internet;Parco o Giardino Proprio;Ristorante;Proprio Parcheggio;Propria Piscina Scoperta;Proprio Campo da Tennis;Mountain Bike;Carta di Credito;Spiaggia Privata;Giochi per Ba";2;42.9438578097;10.7037734985;PIOMBINO;LIVORNO;Toscana
170;http://www.turismo.intoscana.it/booking/html/mappa.php?id=170;SANTA CECILIA;Residenze Turistico Alb.;0565 705457;0565 705905;VIA VITTORIO EMANUELE II, N. 129;San Vincenzo;LI;www.residencesantacecilia.it;info@residencesantacecilia.it;"Riscaldamento;Ascensore;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Servizio Fax;Accesso Internet;Wi-Fi;Accettazione Animali;Proprio Parcheggio;Propria Piscina Coperta;Carta di Credito;Servizio Baby Sitting;Servizio Colazione in Camera;Accettazione G";3;43.1029308000;10.5393731000;SAN VINCENZO;LIVORNO;Toscana
175;http://www.turismo.intoscana.it/booking/html/mappa.php?id=175;TOS'CAMERE PAPILLON;Affittacamere;0565 838129;0565 838129;VIA GUERRAZZI, 11;Campiglia Marittima;LI;www.toscamere.it;info@toscamere.it;"Riscaldamento;Asciugacapelli;Accettazione Animali;Accesso con Vetture Private;Degustazione;Spazio attrezzato per il consumo di alimenti o bevande (Escluso Ristorante);Lampada Esterna;Accesso con Mezzi Pubblici;Colazione Compresa;Locale tv separato";0;43.0598230000;10.6207590000;CAMPIGLIA MARITTIMA;LIVORNO;Toscana
182;http://www.turismo.intoscana.it/booking/html/mappa.php?id=182;LA FUCINAIA;Affittacamere;0565 838358;0565 837721;VIA DI SAN VINCENZO, 48;Campiglia Marittima;LI;www.fucinaia.it;info@fucinaia.it;"Proprio Parcheggio;Carta di Credito";0;43.0742720862;10.6033623219;CAMPIGLIA MARITTIMA;LIVORNO;Toscana
187;http://www.turismo.intoscana.it/booking/html/mappa.php?id=187;AFFITTACAMERE LA MIMOSA DI PERSICO SILVIA;Affittacamere;0565 749644;0565 749644;LOC. OSTERIA VECCHIA, 146/D;Castagneto Carducci;LI;www.mimosabolgheri.com;info@mimosabolgheri.com;"Asciugacapelli;Tv Satellitare;Parco o Giardino Proprio;Proprio Parcheggio;Propria Piscina Scoperta;Accettazione Gruppi;Accesso con Vetture Private;Cucina di Uso Comune;Lampada Esterna";0;43.1646687000;10.5971361000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
190;http://www.turismo.intoscana.it/booking/html/mappa.php?id=190;CAMERE LA POLENA;Affittacamere;0565 773243;0565 773243;VIA FIRENZE, 1/A;Castagneto Carducci;LI;www.camerelapolena.it;info@camerelapolena.it;"Aria Condizionata;Accettazione Animali;Accesso con Vetture Private;Accesso con Mezzi Pubblici";0;43.1762236000;10.5400405000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
193;http://www.turismo.intoscana.it/booking/html/mappa.php?id=193;VILLA LE LUCI;Affittacamere;0565 763601;;VIA UMBERTO I, 47;Castagneto Carducci;LI;www.villaleluci.it;info@villaleluci.it;"Riscaldamento;Aria Condizionata;Vendita prodotti agricoli;Frigo Bar;Asciugacapelli;Servizio Fax;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Proprio Parcheggio;Carta di Credito;Bancomat;Lavatura e Stiratura Biancheria;Accesso con Vetture Private;Sommi";0;43.1600122000;10.6064309000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
213;http://www.turismo.intoscana.it/booking/html/mappa.php?id=213;LA CASA DI ULISSE B & B;Affittacamere;0586 492052;0586 491214;VIA VITALBA, 3/5;Livorno;LI;lacasadiulisse.lorsamaggiore.com;lacasadiulisse@lorsamaggiore.com;"Aria Condizionata;Accettazione Animali;Carta di Credito";0;43.4652546013;10.3648710251;LIVORNO;LIVORNO;Toscana
253;http://www.turismo.intoscana.it/booking/html/mappa.php?id=253;PODERE VIGNANOVA;Alloggi Privati;3665063867;0565 774310;LOC. VIGNA NUOVA, 56;Castagneto Carducci;LI;www.poderevignanova.com;info@poderevignanova.com;"Aria Condizionata;Proprio Parcheggio;Carta di Credito";0;43.1646687000;10.5971361000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
263;http://www.turismo.intoscana.it/booking/html/mappa.php?id=263;VILLA PANICUCCI B & B;Alloggi Privati;0586 579398;0586 579398;VIA DEL PINO, 214 - MONTENERO;Livorno;LI;www.villapanicucci.blogspot.com;gianfrancomessina@virgilio.it;Accettazione Animali;0;43.4990140000;10.3528231000;LIVORNO;LIVORNO;Toscana
269;http://www.turismo.intoscana.it/booking/html/mappa.php?id=269;CASA ANNA;Alloggi Privati;329 2116854;;VIA SILVESTRO LEGA, 11 - - ANTIGNANO;Livorno;LI;;casaannalivorno@gmail.com;"Ascensore;Frigo Bar;Asciugacapelli;Accesso Internet;Servizio Baby Sitting;Accesso con Vetture Private;Trekking;Macchine Lavatrici per biancheria;Cucina di Uso Comune;Accesso con Mezzi Pubblici;Sala Televisione";0;43.5045741000;10.3230119000;LIVORNO;LIVORNO;Toscana
299;http://www.turismo.intoscana.it/booking/html/mappa.php?id=299;LA CASA DI LETIZIA;Alloggi Privati;3288228323;;VIA DON MINZONI, 41;Suvereto;LI;;elisa.12@inwind.it;"Riscaldamento;Asciugacapelli;Somministrazione Alimenti;Colazione Compresa";0;43.0791700670;10.6754815578;SUVERETO;LIVORNO;Toscana
316;http://www.turismo.intoscana.it/booking/html/mappa.php?id=316;IL PALAZZINO;Agriturismi;0586 670330;0586 670330;FRAZIONE BIBBONA, 27 - IL PALAZZINO;Bibbona;LI;www.ilpalazzino.com;info@ilpalazzino.com;Accettazione Animali;3;43.2694489000;10.5952101000;BIBBONA;LIVORNO;Toscana
319;http://www.turismo.intoscana.it/booking/html/mappa.php?id=319;NONNA STELLA;Agriturismi;0586 600026;0586 600026;VIA CAMPIGLIESE, 8;Bibbona;LI;www.nonnastella.it;info@nonnastella.it;"Accettazione Animali;Propria Piscina Scoperta;Carta di Credito";3;43.2527872000;10.5765232000;BIBBONA;LIVORNO;Toscana
320;http://www.turismo.intoscana.it/booking/html/mappa.php?id=320;AGRITURISMO DE FANTI;Agriturismi;3474807119;0586 635468;VIA DIERNE, 38;Bibbona;LI;;agriturismo.defanti@alice.it;"Accessibilit&agrave; Disabili;Riscaldamento;Vendita prodotti agricoli;Tv Satellitare;Parco o Giardino Proprio;Proprio Parcheggio;Propria Piscina Scoperta;Propria Autorimessa;Giochi per Bambini;Servizio Baby Sitting;Lavatura e Stiratura Biancheria;Accetta";2;43.2742601000;10.5891722000;BIBBONA;LIVORNO;Toscana
324;http://www.turismo.intoscana.it/booking/html/mappa.php?id=324;PODERE SANT'ELENA;Agriturismi;0586 671071;0586 671882;VIA CAMPO DI SASSO - SANT'ELENA;Bibbona;LI;www.tenutagardini.it;tenutagardini@gmail.com;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Wi-Fi;Parco o Giardino Proprio;Proprio Parcheggio;Propria Piscina Scoperta;Mountain Bike;Carta di Credito;Servizio C";3;43.2672688155;10.6142520905;BIBBONA;LIVORNO;Toscana
332;http://www.turismo.intoscana.it/booking/html/mappa.php?id=332;VILLA TOSCANA;Agriturismi;0565 853462;0565 853462;VIA DEI GRANAI;Campiglia Marittima;LI;www.villatoscanavacanze.it;info@villatoscanavacanze.it;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Vendita prodotti agricoli;Cassette di Sicurezza in Camera;Asciugacapelli;Tv Satellitare;Parco o Giardino Proprio;Accettazione Animali;Proprio Parcheggio;Propria Piscina Scoperta;Mountain Bike;";3;43.0288707377;10.5633115768;CAMPIGLIA MARITTIMA;LIVORNO;Toscana
336;http://www.turismo.intoscana.it/booking/html/mappa.php?id=336;AZIENDA AGRITURISTICA DICIOCCO;Agriturismi;0565 850106;;VIA POLLEDRAIA, 2;Campiglia Marittima;LI;www.diciocco.it;info@diciocco.it;"Accessibilit&agrave; Disabili;Riscaldamento;Vendita prodotti agricoli;Asciugacapelli;Tv Satellitare;Wi-Fi;Parco o Giardino Proprio;Accettazione Animali;Proprio Parcheggio;Mountain Bike;Giochi per Bambini;Accesso con Vetture Private;Macchine Lavatrici per";3;43.0362112400;10.5891680717;CAMPIGLIA MARITTIMA;LIVORNO;Toscana
340;http://www.turismo.intoscana.it/booking/html/mappa.php?id=340;AGRITURISMO L'OLIVETO;Agriturismi;0565 846534;0565 855438;VIA AURELIA NORD, 80 - PALMENTELLO;Campiglia Marittima;LI;www.olivetoagriturismo.it;info@olivetoagriturismo.it;Accettazione Animali;2;43.0603210000;10.6144677000;CAMPIGLIA MARITTIMA;LIVORNO;Toscana
365;http://www.turismo.intoscana.it/booking/html/mappa.php?id=365;CASA MIRELLA;Agriturismi;0565 763628;0565 744028;LOC. VALLONE DI SEGALARI, 185;Castagneto Carducci;LI;www.quattropini.it;info@quattropini.it;Proprio Parcheggio;1;43.1646687000;10.5971361000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
368;http://www.turismo.intoscana.it/booking/html/mappa.php?id=368;LA RONDINE;Agriturismi;0565 749638;0565 749638;VIA CAMPO AL NOCE, 151;Castagneto Carducci;LI;www.agriturismolarondine.it;info@agriturismolarondine.it;Accettazione Animali;3;43.2219246458;10.5811160803;CASTAGNETO CARDUCCI;LIVORNO;Toscana
371;http://www.turismo.intoscana.it/booking/html/mappa.php?id=371;QUATTRO PINI;Agriturismi;0565 763628;0565 744028;LOC. CAMPASTRELLO, 274;Castagneto Carducci;LI;www.quattropini.it;info@quattropini.it;"Accessibilit&agrave; Disabili;Riscaldamento;Vendita prodotti agricoli;Asciugacapelli;Tv Satellitare;Parco o Giardino Proprio;Proprio Parcheggio;Carta di Credito;Bancomat;Giochi per Bambini;Accettazione Gruppi;Accesso con Vetture Private;Degustazione;Macc";2;43.1646687000;10.5971361000;CASTAGNETO CARDUCCI;LIVORNO;Toscana
394;http://www.turismo.intoscana.it/booking/html/mappa.php?id=394;CAMPO AL SOLE;Agriturismi;0586 969007;0586 899764;VIA LE CORTI, 50 - - CASTELL'ANSELMO;Collesalvetti;LI;www.agriturismocampoalsole.it;agricampoalsole@gmail.com;"Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio Parcheggio;Accesso con Vetture Private;Somministrazione Alimenti;Radio Telefono";2;0E-11;0E-11;COLLESALVETTI;LIVORNO;Toscana
395;http://www.turismo.intoscana.it/booking/html/mappa.php?id=395;AZIENDA AGRITURISTICA LA TANNA;Agriturismi;0586 962856;0586 962856;VIA TANNA BASSA, 84;Collesalvetti;LI;www.agriturismolatanna.com;info@agriturismolatanna.com;Propria Piscina Scoperta;3;43.5952161000;10.4568388000;COLLESALVETTI;LIVORNO;Toscana
403;http://www.turismo.intoscana.it/booking/html/mappa.php?id=403;DOLCI RICORDI DI CAMPANELLI LIVIA PAGNI;Agriturismi;3392585090;0586 860861;VIA GUADALAYARA, 134;Livorno;LI;;dolci.ricordi@tiscali.it;"Vendita prodotti agricoli;Wi-Fi;Accettazione Animali;Proprio Parcheggio;Giochi per Bambini;Macchine Lavatrici per biancheria;Cucina di Uso Comune";3;43.5260841000;10.3503455000;LIVORNO;LIVORNO;Toscana
404;http://www.turismo.intoscana.it/booking/html/mappa.php?id=404;I CINQUE LECCI;Agriturismi;0586 578111;0586 578111;VIA DI QUERCIANELLA, 168 - CASTELLACCIO MONTENERO;Livorno;LI;www.i5lecci.it;agriturismo@i5lecci.it;;3;43.4814919996;10.3663086891;LIVORNO;LIVORNO;Toscana
