id,nome,lat,lon,tipologia,indirizzo,cap,comune,provincia,email,telefono,fax
684rb,"Ristorante ""Corte Antica",43.553356000000001,10.912089,RISTORANTE,"Via F. Chiarenti, 46",50050,MONTAIONE,Firenze,,0571 698178,0571 698178
683rb,"Ristorante ""Casa Masi",43.55361175537,10.911722183229999,RISTORANTE,,50050,"San Bendetto, MONTAIONE",Firenze,casamasi@nautilo.it,0571 677170,0571 677042
703rb,"Ristorante ""Il Focolare",43.55361175537,10.911722183229999,RISTORANTE,,50050,"San Vivaldo 7, MONTAIONE",Firenze,,0571 69498,0571 69498
752rb,"Ristorante ""Il Lago",43.55361175537,10.911722183229999,RISTORANTE,"Via Vecchia, 22",50050,"Le Mura, MONTAIONE",Firenze,info@ristoranteillago.it,0571 677168,0571 45586
1054rb,Ass. Cuochi Medicei Chiantigiani,43.555600657889997,11.07159577194,RISTORANTE,via tavolese,,CERTALDO,Firenze,,0571 660224,0571 660224
702rb,"Ristorante ""La Tavernetta",43.557903289789998,10.90528678894,RISTORANTE,"Via Donatori del Sangue, 6/7",50050,MONTAIONE,Firenze,pioandpio@inwind.it,0571 697736,
2626rb,Il caratello wine bar- wine shop-restaurant,43.561045,11.173159,RISTORANTE,via roma  184,50028,TAVARNELLE VAL DI PESA,Firenze,info@ilcaratello.biz,0558059501,0558059501
1403rb,Osteria La Gramola,43.561894677209999,11.17408019911,RISTORANTE,Via delle Fonti 1,50028,TAVARNELLE VAL DI PESA,Firenze,osteria@gramola.it,055/8050321,055/8077368
244rb,"Ristorante ""Borgo Antico",43.561935424799998,11.175618171689999,RISTORANTE,"Via Roma, 55/57",50028,,Firenze,info@albergovittoria.it,055 8076180,055 8076180
245rb,Osteria La Gramola,43.561948000000001,11.174075999999999,RISTORANTE,"Via delle Fonti, 1",50028,"Nel centro di Tavarnelle, TAVARNELLE VAL DI PESA",Firenze,osteria@gramola.it,055 8050321,055 8050321
2541rb,Poggio al Bosco,43.562151,11.187393999999999,BOTTEGA,"Via Chiostrini, 5",50028,"Via Chiostrini 5, TAVARNELLE VAL DI PESA",Firenze,bianca@poggioalbosco.com,+39 0558076474,+39 0558076474
723rb,"Ristorante ""Là a i' Lago",43.566703796390001,11.08249092102,RISTORANTE,"Via Tavolese, 140",50052,CERTALDO,Firenze,,0571 660057,0571 665318
715rb,Osteria di Casa Chianti,43.566703799999999,11.08249092,RISTORANTE,"Via Case Nuove, 77",50052,"Fiano, CERTALDO",Firenze,info@osteriadicasachianti.it,055 8075311,0571 669688
1573rb,Il Panaio di Scialabba Giuseppe,43.567398070000003,11.217183110000001,BOTTEGA,"Via Gramsci, 12",50024,,Firenze,,055 8218309,
2325rb,giovanni da verrazzano,43.582393000000003,11.317219,RISTORANTE,piazza matteotti 28,50022,GREVE IN CHIANTI,Firenze,info@albergoverrazzano.it,055853189,055853648
1542rb,Antica Macelleria Falorni snc,43.582435099999998,11.31688289,BOTTEGA,"Piazza Giacomo Matteotti, 71",50022,GREVE IN CHIANTI,Firenze,,055 853029,
210rb,"Ristorante Albergo ""Giovanni Da Verrazzano",43.582446716420002,11.316862742390001,RISTORANTE,"Viale Matteotti, 28",50022,GREVE IN CHIANTI,Firenze,info@ristorantedaverrazzano.it,055 853189,055 853648
1407rb,Ristorante Da Verrazzano,43.582446716420002,11.316862742390001,RISTORANTE,P.zza Matteotti 28,50022,GREVE IN CHIANTI,Firenze,info@ristoranteverrazzano.it,055/853189,055/853648
207rb,"Ristorante ""Mangiando Mangiando",43.582689188140002,11.316696256529999,RISTORANTE,"Viale Matteotti, 80",50022,GREVE IN CHIANTI,Firenze,,055 8546372,055 8546372
2617rb,Enoteca Ristorante gallo Nero,43.583025200000002,11.317595499999999,RISTORANTE,"Cesare Battisti, 9",50022,GREVE IN CHIANTI,Firenze,info@enoristorantegallonero.it,055853734,0558544802
1134rb,Trattoria Casa Masi,43.58305,10.88003,RISTORANTE,"Via Collerucci, 53",50050,MONTAIONE,Firenze,info@casamasimontaione.it,0571 677170,0571 677042
1404rb,Casa Masi,43.583252678740003,10.876762918320001,RISTORANTE,Via Collerucci 53,50050,MONTAIONE,Firenze,,0571/677170 - 339/4590950,0571/677042
1073rb,Casa Masi,43.583390000000001,10.877526,RISTORANTE,"via Collerucci, 53",,MONTAIONE,Firenze,info@casamasimontaione.it,0571 677170,0571 677041
666rb,"Ristorante Enoteca ""I Lecci",43.588175,11.117758,RISTORANTE,"Via Lucardese, 74",50025,MONTESPERTOLI,Firenze,info@enotecailecci.it,0571 657641,
722rb,"Ristorante ""C'era una volta",43.597620999999997,11.115869999999999,RISTORANTE,"Via Certaldese, 11",50025,"Lucardo, MONTESPERTOLI",Firenze,,0571 669578,0571 669578
727rb,Osteria da Carlo,43.604038000000003,10.970162,RISTORANTE,"Piazza Kennedy, 20",50051,CASTELFIORENTINO,Firenze,osteriadacarlo@tiscali.it,0571 64127,
853rb,Caffè Stazione,43.605488999999999,10.968381000000001,RISTORANTE,"Via Ridolfi, 34",,CASTELFIORENTINO,Firenze,caffestazione@caffestazione.it,0571 64164,0571 64164
519rb,"Ristorante ""La Palagina",43.608695983890001,11.437462806699999,RISTORANTE,"Via Gravigiana, n. 4",50063,"La Palagina, FIGLINE VALDARNO",Firenze,ristorante@palagina.it,055 9502029,055 952001
648rb,"Ristorante ""Sant'Andrea",43.613216999999999,11.450915999999999,RISTORANTE,Nuovo  Villaggio,50063,"Norcenni, FIGLINE VALDARNO",Firenze,info@ristorantegirasole.com,055 9153507,055 9151402
653rb,"Ristorante ""Il Girasole",43.614260000000002,11.455235999999999,RISTORANTE,"Via Norcenni, 7",50063,FIGLINE VALDARNO,Firenze,info@ristorantegirasole.com,055 959202,055 9151402
2353rb,La Trattoria del Pesce,43.615431999999998,11.190322099999999,RISTORANTE,via cassia 124,50026,"bargino, SAN CASCIANO IN VAL DI PESA",Firenze,latrattoriadelpesce@live.it,0558249045,0558249045
627rb,"Ristorante ""Norcenni",43.61574935913,11.45189857483,RISTORANTE,Via Norcenni,50063,"Villaggio Girasole, FIGLINE VALDARNO",Firenze,info@ristorantegirasole.com,055 959202,055 9151402
746rb,"Ristorante ""Le Boscarecce",43.621344999999998,11.002636000000001,RISTORANTE,"Via Renai, 19",50051,CASTELFIORENTINO,Firenze,info@leboscarecce.com,0571 61280,0571 634008
209rb,"Ristorante ""Casprini  Da Omero",43.624868999999997,11.28241,RISTORANTE,"Via Falcone, 68/70",50022,"Passo dei Pecorai, GREVE IN CHIANTI",Firenze,,055 850715,
2827rb,Ristorante Toscana,43.6255509,11.4630119,RISTORANTE,Vai San Biagio 2,50063,FIGLINE VALDARNO,Firenze,info@albergo-toscana.com,055951424,0559029858
2648rb,L' Appalto di Zela,43.626559,10.92248,RISTORANTE,"Via Coianese, 31",50051,"Castelnuovo d' Elsa, CASTELFIORENTINO",Firenze,appaltodizela@gmail.com,+39 0571 673308,
718rb,"Ristorante Vegetariano ""La Fonte",43.633457180000001,11.11499882,RISTORANTE,"Via Lucignano, 15",50025,MONTESPERTOLI,Firenze,vegetariano@ristorantelafonte.it,0571 609514,0571 543260
742rb,"Trattoria ""Mamma Rosa",43.63395690918,11.179075241090001,RISTORANTE,"Via Cassia per Siena, 32",50026,,Firenze,,055 8249454,
2454rb,Macelleria Tozzetti,43.634410000000003,11.232889999999999,BOTTEGA,"p.zza V. Veneto, 43",50024,"Mercatale Val di Pesa, SAN CASCIANO IN VAL DI PESA",Firenze,macelleria.tozzetti@gmail.com,055 821071,055 821071
559rb,Locanda Il Gallo,43.638292,11.313998,RISTORANTE,"Via Lando Conti, 18",50020,"Chiocchio, GREVE IN CHIANTI",Firenze,info@locandailgallo.it,055 8572266,055 9029857
2125rb,ristorante enoteca i lecci,43.638875300000002,11.082137700000001,RISTORANTE,via Lucardese 74,50025,MONTESPERTOLI,Firenze,info@ristoranteilecci.it,0571 609670,
2686rb,I'LICCHIO,43.643920999999999,11.076314,BOTTEGA,"via Roma, 5",50025,MONTESPERTOLI,Firenze,info@ilicchio.it,0571608099,
890rb,Osteria Nero di Seppia,43.644441,11.070841,RISTORANTE,"Via Taddeini, 70",,MONTESPERTOLI,Firenze,nerodiseppia07@libero.it,0571 606007,
558rb,"Ristorante Enoteca ""Lo Staccio",43.644441,11.070841,RISTORANTE,"Via Taddeini, 70",50025,MONTESPERTOLI,Firenze,lostaccio@tiscalinet.it,0571 608405,
3035rb,Bistrot Lo Zero,43.6445723,11.0704811,RISTORANTE,"via Taddeini, 70",50025,MONTESPERTOLI,Firenze,bistrot.lozero@gmail.com,3880972467,
3147rb,Bistrot Lo Zero,43.6445723,11.0704811,RISTORANTE,Via Taddeini 70,50025,MONTESPERTOLI,Firenze,rossoramefirenze@gmail.com,3290241553,0554644029
3148rb,Ristorante Bistrot Lo Zero,43.6445723,11.0704811,RISTORANTE,"Via Taddeino Taddeini, 70",50025,MONTESPERTOLI,Firenze,rossoramefirenze@gmail.com,0039 329 024 1553,
1644rb,Antica Fiaschetteria del Chianti,43.657009119999998,11.18574619,BOTTEGA,"Piazza Pierozzi,  24",50026,"055820314, ",Firenze,,055820314,
1571rb,La Dispensa di Andrea e Gregorio,43.657677999999997,11.299443999999999,BOTTEGA,Via G.Mazzini 1,50027,GREVE IN CHIANTI,Firenze,a.parrini@tiscali.it,055 8588957,
206rb,"Ristorante ""La Padellina",43.660226999999999,11.295762,RISTORANTE,"Corso del Popolo, 54",50027,"Strada in Chianti, GREVE IN CHIANTI",Firenze,,055 858388,055 858388
663rb,"Ristorante Osteria ""Cantina Petrarca",43.661492495689998,11.448877492439999,RISTORANTE,"Via Petrarca, 11",50064,,Firenze,,055 8334412,055 8333945
726rb,"Ristorante ""Il Mezzo Marinaio",43.664366999999999,11.084600999999999,RISTORANTE,"Via Volterrana Nord, 84",50025,"Baccaiano, MONTESPERTOLI",Firenze,info@enotecailecci.it,0571 671292,
211rb,"Ristorante ""La Martellina",43.668655999999999,11.291637,RISTORANTE,"Via di Pancole, 1",50022,"Strada in Chianti, GREVE IN CHIANTI",Firenze,federigoanelli@libero.it,055 858348,
208rb,"Ristorante ""Paglietta",43.668785,11.350390000000001,RISTORANTE,"Via S.Lavagnini,15 - San Polo in Chianti",50022,GREVE IN CHIANTI,Firenze,,055 855443,
1070rb,Park hotel Villa Cesi,43.679569000000001,11.273726,RISTORANTE,"via delle Terre Bianche, 1",,IMPRUNETA,Firenze,info@villacesi.it,055 231101,055 2011372
235rb,"Ristorante ""Sassineri",43.679569000000001,11.273726,RISTORANTE,"Via delle Terre Bianche, 1",50023,IMPRUNETA,Firenze,,055 231101,055 2011377
199rb,"Ristorante ""Villa Pitiana",43.682209014889999,11.530934333799999,RISTORANTE,"Via Provinciale Tosi, 7",,"Donnini, REGGELLO",Firenze,info@ristorantevillapitiana.com,055 860397,055 8605814
2169rb,MACELLERIA,43.683109100000003,11.5327495,BOTTEGA,"P/zza G.Garibaldi,18",50066,REGGELLO,Firenze,lnrd.corsi1@gmail.com,055868363,
239rb,"Ristorante ""Il Pruneto",43.684462421870002,11.252260251899999,RISTORANTE,"Via della Croce, 39",50023,IMPRUNETA,Firenze,info@pruneto.net,055 0124046,055 0124046
1069rb,Osteria Antica Sosta,43.684902969070002,11.25399511995,RISTORANTE,"via della Croce, 4/6/8",,IMPRUNETA,Firenze,info@osteria-anticasosta.it,055 2312249,055 2314656
650rb,"Ristorante ""Bellavista",43.685010200000001,11.2541549,RISTORANTE,"Via della Croce, 2",50023,IMPRUNETA,Firenze,info@bellavistaimpruneta.it,055 2011083,055 2313929
240rb,Osteria Lo Ziro,43.687372000000003,11.255414,RISTORANTE,"Via Roma, 19/21",50023,IMPRUNETA,Firenze,,055 2012232,
238rb,"Ristorante ""I Cavallacci",43.689103000000003,11.251804,RISTORANTE,"Via Aldo Moro, 3",50023,IMPRUNETA,Firenze,info@icavallacci.it,055 2313863,055 2313863
241rb,"Ristorante ""Dot.Com.Restaurant",43.698062,11.464733000000001,RISTORANTE,Centro The Mall,,"Leccio, REGGELLO",Firenze,info@dotcomleccio.com,055 8657876,055 8657018
893rb,Ristorante Archimede,43.700531599999998,11.535592100000001,RISTORANTE,"Ponte di Casalino, 68",50066,REGGELLO,Firenze,archimede@val.it,055 8667500,055 868584
2363rb,borgo san jacopo,43.700650400000001,10.744434399999999,RISTORANTE,via borgo san jacopo 32/r,50125,FIRENZE,Firenze,bsj@lungarnocollection.com,055281661,
456rb,"Ristorante ""La Lanterna",43.70622253418,11.049124717710001,RISTORANTE,"Via Pulica, 132",50056,MONTELUPO FIORENTINO,Firenze,info@lalanternaristorante.it,0571 542021,0571 929148
709rb,"Ristorante ""Charlie & Brown",43.715040999999999,10.815542000000001,RISTORANTE,"Via Sanminiatese, 89",50054,"S.Pierino, FUCECCHIO",Firenze,,0571 20633,0571 20633
682rb,Trattoria da Enrico,43.717817650679997,10.79332447364,RISTORANTE,"Via Provinciale Fiorentina, 148",50050,FUCECCHIO,Firenze,,0571 23172,0571 23172
2951rb,bagnoli,43.718124000000003,10.941058,BOTTEGA,Via Cellini 48,50053,EMPOLI,Firenze,bagnoliempoli@gmail.com,057176580,
1132rb,Ristorante Escallegra,43.718828518670001,10.94777639512,RISTORANTE,P.zza Popolo,50053,EMPOLI,Firenze,,0571 1960226,055 750890
700rb,Antica Trattoria del Turbone,43.718997999999999,11.035219,RISTORANTE,"Via Turbone, 35/37/39",50056,"turbone, MONTELUPO FIORENTINO",Firenze,info@anticatrattoriadelturbone.it,0571 542035,0571 608629
713rb,"Ristorante ""Il Cantuccio",43.721393585210002,10.93429946899,RISTORANTE,"Via Piave, 2",50053,EMPOLI,Firenze,,0571 944533,0571 609741
1577rb,La Piazzetta,43.722827594430001,11.291556037739999,BOTTEGA,"Via Pian di Grassina, 20",50012,"055 641656, BAGNO A RIPOLI",Firenze,stefano1244@interfree.it,055 641656,
1567rb,Alimentari Luana,43.72301200954,11.29721484947,BOTTEGA,"Via Tizzano, 61/63",50012,BAGNO A RIPOLI,Firenze,,055 641107,
711rb,"Ristorante ""I Palmenti",43.725307000000001,11.022774,RISTORANTE,"Via della Pesa, 89",50056,MONTELUPO FIORENTINO,Firenze,,0571 913326,0571 913326
686rb,"Ristorante ""La Certosa",43.730207613829997,11.223356598880001,RISTORANTE,"Via Cassia, 1",50124,FIRENZE,Firenze,ristcert@tin.it,055 2048876,055 2047109
563rb,Osteria Il Vignale,43.730274000000001,11.539859999999999,RISTORANTE,Saltino,,"Vignale 33, REGGELLO",Firenze,,055 862155,
706rb,Osteria Livornese,43.732520999999998,11.020465,RISTORANTE,"Viale Umberto I, 2",50056,MONTELUPO FIORENTINO,Firenze,,0571 542611,
710rb,"Ristorante ""Vino, Donna e Canto",43.733684180120001,11.0211035985,RISTORANTE,"Corso Garibaldi, 28/30",50056,MONTELUPO FIORENTINO,Firenze,eno.bar@libero.it,0571 912308,0571 912308
714rb,Osteria Montellori,43.735017242650002,10.80808253903,RISTORANTE,"Via Pistoiese, 1",50054,FUCECCHIO,Firenze,,0571 245716,
1412rb,Dalle Vigne Wine Loft,43.743271100000001,10.902635399999999,RISTORANTE,"Via del Torrino, 25",50059,"Mercatale, VINCI",Firenze,wineloft@dallevigne.com,0571 902675,0571 902675
2026rb,Osteria di Giogo,43.747126899999998,11.294037599999999,RISTORANTE,Via Chiantigiana 106,50126,"Ponte a Ema, FIRENZE",Firenze,infi@osteria-giogo.it,0556461311,
1540rb,Cotellesa Tina & C. s.a.s.,43.749681000000002,11.181524,BOTTEGA,"Via Giotto, 50",50018,SCANDICCI,Firenze,,055 250065,
2351rb,Erboristeria Albero Verde,43.749731199999999,11.2212111,BOTTEGA,"Via Senese, 221-223/rosso",50124,"Galluzzo, FIRENZE",Firenze,info@alberoverde.net,0552047446,
2644rb,TRATTORIA OMERO,43.751174900000002,11.2562538,RISTORANTE,VIA PIAN DEI GIULLARI 11/R,50125,"Arcetri, FIRENZE",Firenze,omero@ristoranteomero.it,055220053,0552336183
2268rb,osteria cantagallo,43.751516000000002,11.015013,RISTORANTE,via valicarda 35,50050,CAPRAIA E LIMITE,Firenze,info@enricopierazzuoli.com,05711820860-3313233396,0571583399
719rb,"Ristorante Caffè ""Primavera",43.752212229999998,11.31962478,RISTORANTE,"Via Roma, 144",50012,BAGNO A RIPOLI,Firenze,tema2002@virgilio.it,055 630457,055 632453
1400rb,da Francesca,43.752272699999999,11.3196882,RISTORANTE,Via Manlio 2,50055,BAGNO A RIPOLI,Firenze,pranzosano@confcommercio.toscana.it,055 468141,
3245rb,Woodstock,43.754216900000003,11.1922839,RISTORANTE,"Scandicci, FI, Italia",50018,"Scandicci, ",Firenze,info@woodstockfirenze.it,3389469984,
260rb,"Ristorante ""Convivium Firenze",43.756423950200002,11.28985881805,RISTORANTE,"Viale Europa, 4",50100,FIRENZE,Firenze,,055 6811757,055 6811766
205rb,"Ristorante ""Le Vedute",43.756981955379999,10.75523933883,RISTORANTE,"Via Romana Lucchese, 121",50054,"Le Vedute, FUCECCHIO",Firenze,info@levedute.it,0571 297498,0571 297201
1425rb,Piazzale del gusto,43.757627408250002,11.271000583439999,RISTORANTE,"via michelangiolo, 61",50125,FIRENZE,Firenze,info@piazzaledelgusto.it,0550139903,
1072rb,Ristorante Edy Più,43.759686710289998,11.104789637530001,RISTORANTE,"via Calcinaia, 94",,LASTRA A SIGNA,Firenze,,055 8724562,055 8721346
2356rb,PS Ristorante,43.7596919,10.8803477,RISTORANTE,Via Pianello val Tidone 41,50050,CERRETO GUIDI,Firenze,info@ps-ristorante.it,0571559242,
857rb,Bar Petrarca,43.760288000000003,11.242266000000001,RISTORANTE,"Piazzale Porta Romana, 6/r",,FIRENZE,Firenze,,,
457rb,Osteria Santi Saccenti,43.760418999999999,10.877242000000001,RISTORANTE,"Via Pianello Val Tidone, 41",50050,CERRETO GUIDI,Firenze,,0571 55279,0571 55279
678rb,"Ristorante ""Il Cavaliere",43.760998106610003,10.75295464055,RISTORANTE,"Via Romana Lucchese, 114",50054,"Le Vedute, FUCECCHIO",Firenze,,0571 297207,
1982rb,La Terrazza del Principe,43.762110999999997,11.272615800000001,RISTORANTE,"Viale Machiavelli, 10",50125,FIRENZE,Firenze,info@laterrazzadelprincipe.com,055 224104,055 2335375
863rb,Osteria Gavì,43.762590000000003,11.285842000000001,RISTORANTE,"Via Lapo da Castiglionchio, 10/12r",,FIRENZE,Firenze,,055 6581047,055 6581047
2587rb,Trattoria da Beppino,43.762757100000002,11.278902499999999,RISTORANTE,Via di Ripoli 13/r,50126,FIRENZE,Firenze,trattoriabeppino@gmail.com,0556810505,
1064rb,Trattoria Boboli,43.764079799999998,11.2461386,RISTORANTE,Via Romana 45 r,0,FIRENZE,Firenze,trattoriaboboli@gmail.com,055 2336401,055 2336401
258rb,Hosteria del Bricco,43.764399540820001,11.26382205462,RISTORANTE,"Via S. Niccolò, 8/12",50126,FIRENZE,Firenze,info@osteriadelbricco.it,055 2345037,055 2345037
878rb,Trattoria Celestino,43.764898144630003,11.247889784610001,RISTORANTE,"P.zza Santa Felice, 4r",,FIRENZE,Firenze,bruno.celestino@virgilio.it,055 2396574,055 292185
2023rb,Ristorante La Bocca di Leone,43.765041199999999,11.2098797,RISTORANTE,via Pisana 41 rosso,50143,FIRENZE,Firenze,info@laboccadileone.it,0552286572,
705rb,"Ristorante ""L'Antinoro",43.765608484300003,11.037684736479999,RISTORANTE,"Via Tosco-Romagnola Nord, 6",50056,MONTELUPO FIORENTINO,Firenze,,0571 51341,0571 51742
865rb,Osteria Santo Spirito,43.766434937189999,11.24678329396,RISTORANTE,"P.zza Santo Spirito, 16r",,FIRENZE,Firenze,chiarata@interfree.it,055 2382383,
859rb,Borgo Antico,43.766466000000001,11.247524,RISTORANTE,"Piazza Santo Spirito, 6/r",50100,FIRENZE,Firenze,albertogargelli@alice.it,055 210437,
743rb,"Ristorante ""Il Cantinone",43.766466000000001,11.247524,RISTORANTE,"Piazza S. Spirito, 6/r",50125,FIRENZE,Firenze,ilcantinone@libero.it,055 218898,055 218898
874rb,Ristorante Palazzo Tempi,43.766509999999997,11.255045000000001,RISTORANTE,"Via dei Bardi, 33/37",,FIRENZE,Firenze,,055 2466949,
2028rb,LA STREGA NOCCIOLA -  GELATERIA ARTIGIANALE,43.767057100000002,11.253891599999999,RISTORANTE,VIA DEI BARDI 51R,50125,"PONTE VECCHIO, FIRENZE",Firenze,info@lastreganocciola.it,0552382150,
864rb,Osteria Il Magazzino,43.767108999999998,11.250565999999999,RISTORANTE,"P.zza della Passera, 2/3",,FIRENZE,Firenze,luca_cai@virgilio.it,055 215969,
882rb,Bar Trattoria Da Ginone,43.767290000000003,11.24549,RISTORANTE,"Via dei Serragli, 35/r",50124,FIRENZE,Firenze,trattoriaginone@gmail.com,055 218758,055 218758
868rb,Ristorante Cavolo Nero,43.767451999999999,11.244982,RISTORANTE,"Via dell'Ardiglione, 22",,FIRENZE,Firenze,cavolonero@cavolonero.it,055 294744,055 294744
277rb,"Ristorante ""Alla Vecchia Bettola",43.767456054690001,11.23965549469,RISTORANTE,"Viale Pratolini, 3/7",50100,FIRENZE,Firenze,,055 224158,
1058rb,Le Colonnine,43.767518000000003,11.259321,RISTORANTE,"vai Benci, 6 r",,FIRENZE,Firenze,,055 2346417,055 2346417
877rb,Trattoria Cammillo Sas,43.767797559930003,11.25160455374,RISTORANTE,"Borgo San Jacopo, 57r",50125,FIRENZE,Firenze,cammillo@momax.it,055 212427,055 212963
2745rb,i Toscani,43.767998900000002,11.2497372,BOTTEGA,via Maggio 1 R,50125,FIRENZE,Firenze,direzione@itoscani.it,055289841,
273rb,"Ristorante ""Olio & Convivium",43.768188479999999,11.24962425,RISTORANTE,"Via S. Spirito, 4",50100,FIRENZE,Firenze,olio.convivium@conviviumfirenze.it,055 2656267,055 2658198
286rb,"Ristorante ""Fantasia",43.768200999999998,11.264443,RISTORANTE,"Via San Giuseppe, 12/r",50100,FIRENZE,Firenze,,055 2343533,
876rb,Tea 3 Srl,43.768217999999997,11.281993,RISTORANTE,"Via Lanza, 54",,FIRENZE,Firenze,,,
202rb,"Ristorante Enoteca ""Tavernetta della Signoria",43.768279,11.257709,RISTORANTE,"Via dei Neri, 57/r",50100,FIRENZE,Firenze,,055 288951,055 2654770
1060rb,Ristorante il Cantinone,43.768279088260002,11.24911238847,RISTORANTE,"Via Santo Spirito, 6r",,FIRENZE,Firenze,ilcantinone@libero.it,055 218898,055 218898
2068rb,Kome Sushi & BBQ Restaurant,43.768545000000003,11.260145700000001,RISTORANTE,"via dei Benci, 41r",50122,FIRENZE,Firenze,info@komefirenze.it,+39 055 2008009,+39 055 2466723
2884rb,Da Pescatore Casa di Cucina,43.768566,11.2444864,RISTORANTE,Piazza del Carmine 7r,50124,FIRENZE,Firenze,dp@dapescatore.it,055219978,
290rb,Trattoria Antico Fattore,43.768569371300003,11.25529712476,RISTORANTE,"Via Lambertesca, 1/3r",50100,FIRENZE,Firenze,,055 288975,055 283341
2635rb,Le Fate,43.768942799999998,11.263869,RISTORANTE,Borgo Allegri n.9r,50100,FIRENZE,Firenze,ristorantelefate@gmail.com,055/3841998,
271rb,"Ristorante ""Napoleone",43.768981933589998,11.24472904205,RISTORANTE,"Via del Carmine, 24",50100,FIRENZE,Firenze,,055 281015,
204rb,"Ristorante ""Totò",43.769013999999999,11.253545000000001,RISTORANTE,"Borgo Santi Apostoli, 6/r",50100,FIRENZE,Firenze,rist.toto@tin.it,055 212096,055 6802816
568rb,"Ristorante ""Alle Murate",43.769474000000002,11.265275000000001,RISTORANTE,"Via Ghibellina, 52/r",,FIRENZE,Firenze,,055 240618,055 288950
867rb,Baccarossa,43.769516299999999,11.2652166,RISTORANTE,"Via Ghibellina, 46r",50122,FIRENZE,Firenze,info@baccarossa.it,055 240620,055 240620
1398rb,Ristorante Bacca Rossa,43.769518767599997,11.26500965376,RISTORANTE,Via Ghibellina 46/r,,FIRENZE,Firenze,info@baccarossa.it,055/240620,055/7004956
3260rb,MartaBottega,43.769560400000003,11.2558136,BOTTEGA,"Firenze, FI, Italia",56028,,Firenze,segreteria@sanminiatopromozione.it,057142745,
