Id,Nome,Categoria,Telefono,Indirizzo,Comune,SiglaProvincia,Email,Valutazione,Latitudine,Longitudine,Provincia,EsisteValutazione,Popolazione
481sr,Le Piane Del Milia,Agriturismi,0565 845084,"Loc. Calzalunga, 165",Suvereto,LI,info@lepianedelmilia.it,2,43.0577257723,10.7194805145,Livorno,1,2961
485sr,La Cortevilla,Agriturismi,0565 829209,"Loc. Pietrasca, 44",Suvereto,LI,info@lacortevilla.it,3,43.0574165,10.6752195,Livorno,1,2961
491sr,Azienda Agrituristica Gualdo Del Re,Agriturismi,0565 829888,"Loc. San Giovanni, 155",Suvereto,LI,info@gualdodelre.it,3,43.0636205658,10.6852340698,Livorno,1,2961
492sr,Azienda Agrituristica Incontri,Agriturismi,0565 829401,"Loc. Fossoni, 38",Suvereto,LI,info@aziendaagricolaincontri.it,2,43.0668789,10.6737014,Livorno,1,2961
497sr,Arcobaleno 2,Campeggi,0586 600361,Via Dei Cipressi,Bibbona,LI,info@arcobalenocamping.it,3,43.2489879,10.5339027,Livorno,1,3181
498sr,Camping Casa Di Caccia,Campeggi,0586 600000,"Via Del Mare, 40",Bibbona,LI,info@campingcasadicaccia.com,2,43.2461175,10.5267412,Livorno,1,3181
513sr,International Camping Etruria,Campeggi,0565 744254,Via Della Pineta,Castagneto Carducci,LI,info@campingetruria.it,2,43.1877809431,10.541510582,Livorno,1,8751
524sr,Pappasole,Campeggi,0565 20337,"Via Carbonifera, 14 - Loc. Torre Mozza - Riotorto",Piombino,LI,info@pappasole.it,4,42.9502661279,10.687122345,Livorno,1,32337
539sr,Il Tritone,Case per Vacanze,0586 600283,"Via Cavalleggeri Sud, 19 - Marina Di Bibbona",Bibbona,LI,info@iltritone.com,1,43.2385716,10.5316583,Livorno,0,3181
546sr,Villa Bolgherello,Case per Vacanze,0586 600361,Via Dei Pini - Bolgherello - Marina Di Bibbona,Bibbona,LI,info@arcobalenocamping.it,1,43.2694489,10.5952101,Livorno,0,3181
551sr,Villa I Tigli,Case per Vacanze,0565 851149,"Via Di Montioncello, 5",Campiglia Marittima,LI,info@villaitigli.it,1,43.0345409,10.6224813,Livorno,0,12461
560sr,Casa Vacanze Ribocchi,Case per Vacanze,0565 843159,"Loc. Ribocchi, 4 - Ribocchi",Campiglia Marittima,LI,info@casavacanzeribocchi.it,1,43.0290119094,10.6615126133,Livorno,0,12461
562sr,Villa Denise,Case per Vacanze,0565 838335,"Via Caravaggio, 2 - Campiglia Marittima",Campiglia Marittima,LI,info@villadenise.com,1,43.0539562,10.6121166,Livorno,0,12461
617sr,Villa Piani Residence,Case per Vacanze,0565 705417,"Corso Italia, 44",San Vincenzo,LI,info@residencevillapiani.it,1,43.0964898,10.5391314,Livorno,0,6470
620sr,Futura C.A.V.,Case per Vacanze,0586 861888,"Via Della Repubblica, 44",San Vincenzo,LI,info@appartamenti-mare.com,1,43.0858615,10.5378883,Livorno,0,6470
643sr,Pian Delle More,Case per Vacanze,0565 794365,"Via Campagna Sud, 149 Ter - Vignole",Sassetta,LI,info@piandellemore.com,1,43.1291462,10.6432402,Livorno,0,473
644sr,Casa Vacanze Il Chiostro,Case per Vacanze,0565 827067,"Via Del Crocifisso, 14",Suvereto,LI,ilchiostro@valdicornia.it,1,43.0795211,10.6780175,Livorno,0,2961
645sr,Casa Vacanze Valdicciola,Case per Vacanze,0565 829130,"Loc. Valdicciola, 166",Suvereto,LI,info@valdicciola.it,1,43.0803611967,10.7066059113,Livorno,0,2961
649sr,Casa Vacanze La Baciocca,Case per Vacanze,3333970361,"Loc. Montioni, 9",Suvereto,LI,info@labaciocca.it,1,43.0135899,10.7600996,Livorno,0,2961
650sr,Student's Hostel Gowett,Ostelli,0565 838192,"Via Di San Vincenzo, 34 - Parco Di San Silvestro",Campiglia Marittima,LI,info@ostellogowett.it,1,43.0388691,10.608395,Livorno,0,12461
652sr,Ostello La Baciocca,Ostelli,3333970361,"Loc. Montioni, 9",Suvereto,LI,info@labaciocca.it,1,43.0135899,10.7600996,Livorno,0,2961
684sr,Onda Etrusca,Residence,0565 705203,"Via Della Repubblica, 46/48",San Vincenzo,LI,info@residenceondaetrusca.it,2,43.0856888,10.5378649,Livorno,1,6470
779sr,Hotel Villa S. Michele,Alberghi,055 8715872,"Piazza Matteotti, 14",Carmignano,PO,info@hotelvillasanmichele.com,3,43.813319622,11.0179916024,Prato,1,14623
780sr,Hotel Ristorante Hermitage,Alberghi,055 8777085,"Via Ginepraia, 112",Poggio A Caiano,PO,info@hotelhermitageprato.it,3,43.8173446,11.0433549,Prato,1,9929
781sr,Hotel President,Alberghi,0574 30251,"Via Simintendi, 20 Ang. Via Baldinucci",Prato,PO,info@hotel-president.net,4,43.8755808,11.1016646,Prato,1,196317
782sr,Hotel Flora,Alberghi,0574 33521,"Via Cairoli, 31",Prato,PO,info@hotelflora.info,3,43.8796563,11.0998083,Prato,1,196317
783sr,Hotel San Marco,Alberghi,0574 21321,"Piazza San Marco, 48",Prato,PO,info@hotelsanmarcoprato.com,3,43.8780968,11.1012426,Prato,1,196317
785sr,Hotel Il Giglio,Alberghi,0574 37049,"Piazza S. Marco, 14",Prato,PO,albergoilgiglio@tin.it,2,43.8782950786,11.1017543077,Prato,1,196317
787sr,Art Hotel Museo,Alberghi,0574 5787,"Viale Della Repubblica, 289",Prato,PO,info@arthotel.it,4,43.8599877,11.1091935,Prato,1,196317
788sr,Hotel Palace,Alberghi,0574 5671,"Via Pier Della Francesca, 71",Prato,PO,info@palaceprato.it,4,43.8629536,11.1075793,Prato,1,196317
789sr,Hotel Toscana,Alberghi,0574 28096,"Piazza Ciardi, 3",Prato,PO,info@hoteltoscana.prato.it,2,43.8853672,11.0970259,Prato,1,196317
790sr,Art Hotel Milano,Alberghi,0574 23371,"Via Tiziano, 15",Prato,PO,reservation@arthotel-milano.it,4,43.8787338,11.1050759,Prato,1,196317
791sr,Hotel Datini,Alberghi,0574 562348,"Viale Marconi, 80",Prato,PO,info@hoteldatini.com,4,43.856776,11.122246,Prato,1,196317
796sr,Hotel Ristorante Margherita,Alberghi,0574 959926,"Via Dell' Appennino, 17/19 - Montepiano",Vernio,PO,hotel@margheritahotel.com,3,44.0913741,11.1607647,Prato,1,6157
831sr,Villino Il Cedro,Affittacamere,0574 401739,"Via Traversa Il Crocifisso, 26/l - Tavola",Prato,PO,info@villinoilcedro.com,1,43.8500925,11.056305,Prato,0,196317
833sr,Al Duomo,Affittacamere,335395023,"Via Firenzuola, 23",Prato,PO,alduomo@hotelflora.info,1,43.8812081,11.096567,Prato,0,196317
835sr,Borgo Al Cornio,Affittacamere,0574 440222,"Via Convenevole Da Prato, 30",Prato,PO,info@borgoalcornio.com,1,43.8822758,11.0954483,Prato,0,196317
838sr,Accanto Al Centro,Affittacamere,3388470786,"Viale Piave, 37",Prato,PO,info@accantoalcentro.com,1,43.8780283,11.1005412,Prato,0,196317
858sr,B&b La Fonte Del Montalbano,Alloggi Privati,3471842220 0558799080,"Via Fornia, 2",Carmignano,PO,info@fontemontalbano.com,1,43.7896846696,10.9898042679,Prato,0,14623
892sr,Azienda Agrituristica Selvapiana,Agriturismi,0574 956045,"Via Selvapiana, 5 - Selvapiana - Luicciana",Cantagallo,PO,info@agriturismoselvapiana.it,3,44.0349277394,11.1016631126,Prato,1,3109
894sr,Castiglioncello,Agriturismi,0574 981124,"Via Di Castiglioncello, 21 Migliana",Cantagallo,PO,info@agriturismocastiglioncello.it,3,43.9840686672,11.1063086987,Prato,1,3109
902sr,Le Ginestre,Agriturismi,055 8792020,"Via Delle Ginestre, 18 - Verghereto",Carmignano,PO,g.landini@tin.it,2,43.7884673,11.0060598,Prato,1,14623
904sr,Agriturismo La Borriana,Agriturismi,055 8710058,Arrendevole - Loc. Il Casino,Carmignano,PO,info@agriturismolaborriana.it,2,43.7881866,11.0301621,Prato,1,14623
909sr,Agriturismo La Casaccia,Agriturismi,0574 657000,Via Di Javello 52 - Javello,Montemurlo,PO,info@fattoriajavello.it,3,43.9285163,11.0598617,Prato,1,19177
912sr,Agriturismo Il Ponticello,Agriturismi,0574 984134,"Via Nucleo Fabio, 5 - Fabio",Vaiano,PO,info@agrifabio.com,3,43.9414557994,11.145324111,Prato,1,9932
913sr,Agriturismo Corboli,Agriturismi,0574 938126,"Via Celle - Corboli, 62 - Corboli S. Quirico - S. Quirico",Vernio,PO,info@agriturismocorboli.it,3,44.053791062,11.1775588989,Prato,1,6157
922sr,Le Casacce Di Pratelli Laura E C. S.A.S.,Case per Vacanze,055 8718017,"Via Bruno Spinelli, 33 - Poggio Alla Malva",Carmignano,PO,info@lecasacce.it,1,43.7709865,11.0548763,Prato,0,14623
935sr,Villa Fiorelli,Ostelli,0574 42959,"Via Di Galceti, 64",Prato,PO,info@villafiorelli.it,1,43.9084442007,11.0882359743,Prato,0,196317
936sr,Ostello Magnolfi Nuovo,Ostelli,0574 442906,"Via Gobetti, 79",Prato,PO,info@magnolfinuovo.it,1,43.8826579,11.1055727,Prato,0,196317
943sr,Residence Manassei,Residence,0574 22717,"Via Dei Manassei, 3/5/7",Prato,PO,info@residencemanassei.it,2,43.881062,11.0972556,Prato,1,196317
959sr,La Palma,Alberghi,0564/890660,"Strada Del Chiarone, 5 Chiarone Scalo",Capalbio,GR,lapalma@albergolapalma.com,3,42.386658,11.441987,Grosseto,1,3864
973sr,L'approdo,Alberghi,0564/933466,"Via Ponte Giorgini, 29",Castiglione Della Pescaia,GR,info@approdo.it,4,42.7634633,10.8837358,Grosseto,1,7131
974sr,Riva Del Sole,Alberghi,0564/928111,E. Kennedy - Riva Del Sole,Castiglione Della Pescaia,GR,info@rivadelsole.it,4,42.7693688,10.8526743,Grosseto,1,7131
975sr,Kinda,Alberghi,0564/937105,"Via Ansedonia, 21",Castiglione Della Pescaia,GR,info@hotelkinda.it,3,42.7611884624,10.8869898319,Grosseto,1,7131
977sr,Miramare,Alberghi,0564/933524,"Via Vittorio Veneto, 35",Castiglione Della Pescaia,GR,info@hotelmiramare.info,3,42.7625561,10.8776116,Grosseto,1,7131
979sr,Roma,Alberghi,0564-933542,"Via C.Colombo, 14",Castiglione Della Pescaia,GR,hotelromacastiglione@tiscali.it,3,42.7626358449,10.8818024397,Grosseto,1,7131
989sr,Rossella,Alberghi,0564/933832,"Via Fratelli Bandiera, 18",Castiglione Della Pescaia,GR,info@albergorossella.it,2,42.7638953,10.8770098,Grosseto,1,7131
995sr,La Scogliera,Alberghi,0564/933504,"Via Delle Formiche, 7",Castiglione Della Pescaia,GR,info@scogliera.com,1,42.7609875985,10.8849352598,Grosseto,1,7131
998sr,Cala Del Porto,Alberghi,0564/922455,"Via Cala Del Pozzo, Snc Puntala",Castiglione Della Pescaia,GR,delporto@relaischateaux.com,5,42.8062009897,10.7386636734,Grosseto,1,7131
999sr,Gallia Palace Hotel,Alberghi,0564/922022,Via Delle Sughere S.N.C. Punta Ala,Castiglione Della Pescaia,GR,info@galliapalace.it,5,42.8086103,10.765113,Grosseto,1,7131
1008sr,L'andana - Tenuta La Badiola,Alberghi,0564/944800,Localita' Badiola,Castiglione Della Pescaia,GR,info@andana.it,5,42.796017,10.9730102,Grosseto,1,7131
1028sr,Bella'mbriana Hotel Charme E Relax,Alberghi,0566/48951,"Via Marconi, 12",Follonica,GR,info@hotelfollonica.it,4,42.9221369,10.7563815,Grosseto,1,20457
1031sr,Golfo,Alberghi,0566/40129,"Via Buozzi, 6",Follonica,GR,info@albergogolfo.it,1,42.9225354,10.7549618,Grosseto,1,20457
1039sr,Parrini,Alberghi,0566/40293,"Viale Italia, 103",Follonica,GR,info@parrinihotel.com,3,42.9249775,10.7486775,Grosseto,1,20457
1049sr,Bastiani Grand Hotel,Alberghi,0564/20047,"Piazza Gioberti, 64",Grosseto,GR,info@hotelbastiani.com,4,42.7596882,11.1126204,Grosseto,1,81608
1052sr,Airone,Alberghi,0564/412441,"Via Senese, 35",Grosseto,GR,info@hotelairone.eu,4,42.7667405,11.1179627,Grosseto,1,81608
1062sr,San Lorenzo,Alberghi,0564/27918,"Via Piave, 22",Grosseto,GR,info@sanlorenzogrosseto.com,3,42.7641777132,11.1155891418,Grosseto,1,81608
1065sr,Rosmarina,Alberghi,0564/34408,"Via Delle Colonie, 33/35 Marina Di Grosseto",Grosseto,GR,info@rosmarina.it,3,42.7306455,10.9687866,Grosseto,1,81608
1070sr,Principe,Alberghi,0564/31400,"Via Dello Squalo, 100 - Principina A Mare",Grosseto,GR,info@famigliafacondini.it,4,42.6930030906,10.9997820854,Grosseto,1,81608
1071sr,Grifone,Alberghi,0564/31197,"Via Del Pesce Persico, 2 - Principina A Mare - Marina Di Grosseto",Grosseto,GR,grifone@ouverture.it,3,42.6926561203,11.000919342,Grosseto,1,81608
1074sr,Granduca,Alberghi,0564/453833,"Via Senese, 170",Grosseto,GR,reception@hotelgranduca.com,4,42.7788658743,11.1238074303,Grosseto,1,81608
1079sr,Giardino Delle Palme,Alberghi,0564/804037 - 349/7864709,"Via Della Torre, 3 - Campese",Isola Del Giglio,GR,info@giardinolepalme.it,1,42.3676069,10.8821158,Grosseto,1,1322
1092sr,Villa Acquaviva,Alberghi,0564/602890,"Strada Scansanese, 10/11 - Acquaviva - Montemerano",Manciano,GR,info@relaisvillaacquaviva.com,3,42.633832432,11.4819145203,Grosseto,1,7062
1098sr,Terme Di Saturnia,Alberghi,0564/600111,Via Della Follonata Saturnia,Manciano,GR,info@termedisaturnia.it,4,42.6587067479,11.5165901184,Grosseto,1,7062
1114sr,Il Melograno,Alberghi,0564/602609,Ponticello - Montemerano,Manciano,GR,info@hotelilmelograno.it,3,42.6275175713,11.4903688431,Grosseto,1,7062
1118sr,Il Borgonuovo,Alberghi,0564/620035,"Via Pietro Aldi, Snc",Manciano,GR,info@ilborgonuovo.net,3,42.592799,11.519459,Grosseto,1,7062
1120sr,Poggio Bertino,Alberghi,0564/602824 - 339/1402891,"Via Poggio Bertino, 32 - Pianetti - Montemerano",Manciano,GR,info@poggiobertino.com,2,42.6358846238,11.501891613,Grosseto,1,7062
1121sr,Saturnia Tuscany Hotel,Alberghi,0564/607611,Via Marco Pantani - Poggio Murella,Manciano,GR,info@saturniatuscanyhotel.com,4,42.6749811,11.550487,Grosseto,1,7062
1124sr,Il Girifalco,Alberghi,0566/902177,"Via Massetana Nord, 25",Massa Marittima,GR,hotel@ilgirifalco.com,3,43.0554680417,10.8912277222,Grosseto,1,8167
1134sr,La Caletta,Alberghi,0564/812939,"Via Guelfo Civinini, 6 Porto S. Stefano",Monte Argentario,GR,info@hotelcaletta.it,3,42.4439137,11.1140994,Grosseto,1,11889
1138sr,Hotel La Lucciola,Alberghi,0564/812976,"Via Panoramica, 241 Porto S. Stefano",Monte Argentario,GR,info@lalucciola.com,2,42.4402482128,11.1132770777,Grosseto,1,11889
1139sr,Baia D'argento,Alberghi,0564/812643,Strada Prov.Le 161 - Pozzarello - Porto S. Stefano,Monte Argentario,GR,baiadargento@baiadargento.com,4,42.434195,11.138141,Grosseto,1,11889
1141sr,Pensione Week End,Alberghi,0564/812580,"Via Martiri D'ungheria, 3 Porto S.Stefano",Monte Argentario,GR,info@pensioneweekend.it,1,42.4385656827,11.1157742143,Grosseto,1,11889
1147sr,Argentario Golf Resort & Spa,Alberghi,0564/1828400,Via Acquedotto Leopoldino Snc - Le Piane - Porto Ercole,Monte Argentario,GR,info@argentariogolfresortspa.it,5,42.416613434,11.1851119995,Grosseto,1,11889
1149sr,Locanda Del Gabellino,Alberghi,0566/998200,Via Senese - Provinciale 162 - Gabellino - Boccheggiano,Montieri,GR,albergogabellino@virgilio.it,1,43.0899832,11.0340462,Grosseto,1,1191
1150sr,Rifugio Prategiano,Alberghi,0566/997700,"Via Prategiano, 45",Montieri,GR,info@prategiano.com,3,43.1311555,11.0166408,Grosseto,1,1191
1166sr,Vecchia Maremma,Alberghi,0564/862147 - 0564/865105,"Via Aurelia Km.146, 400 - Quattrostrade - Orbetello Scalo",Orbetello,GR,info@vecchiamaremma.it,3,42.4742177332,11.2339013815,Grosseto,1,14315
1169sr,Il Telamonio,Alberghi,0564/887008,"Piazza Garibaldi, 4 Talamone",Orbetello,GR,info@hoteliltelamonio.com,4,42.5533991,11.1339005,Grosseto,1,14315
1176sr,Le Querciolaie,Alberghi,0564/886106,"Strada Prov.Le Talamone Est, 56 - Le Querciolaie - Fonteblanda",Orbetello,GR,hotel.lequerciolaie@virgilio.it,3,42.596444,11.206258,Grosseto,1,14315
