Id,url,Nome,Categoria,Telefono,Fax,Indirizzo,Comune,SiglaProvincia,website,Email,facilities,Valutazione,Latitudine,Longitudine,PRO_COM,Provincia,Regione,EsisteValutazione
58sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=58,Hotel Gran Duca,Alberghi,0586 891024,0586 891153,"Piazza G. Micheli, 16",Livorno,LI,www.granduca.it,granduca@granduca.it,Accessibilit&agrave; Disabili;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credi,4,43.5496674,10.3050505,LIVORNO,Livorno,Toscana,1
65sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=65,La Rosa Del Tirreno,Alberghi,0586 491153,0586 492105,"Via Del Littorale, 547",Livorno,LI,www.hotelrosadeltirreno.it,info@hotelrosadeltirreno.it,Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito,3,43.453353,10.3758908,LIVORNO,Livorno,Toscana,1
68sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=68,Hotel Rex,Alberghi,0586 580400,0586 509586,"Via Del Littorale, 164 - - Antignano",Livorno,LI,www.hotelrex.it,info@hotelrex.it,Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito;Servizio Cong,4,43.4918928,10.3279815,LIVORNO,Livorno,Toscana,1
74sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=74,Hotel La Vedetta,Alberghi,0586 579957,0586 579969,"Via Della Lecceta, 5",Livorno,LI,www.hotellavedetta.it,info@hotellavedetta.it,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta d,3,43.4903838,10.3468052,LIVORNO,Livorno,Toscana,1
77sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=77,Max Hotel Livorno,Alberghi,0586 426722,0586 444255,"Via Giotto Ciardi, 28",Livorno,LI,www.maxhotels.it,livorno@maxhotels.it,Aria Condizionata;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito,4,43.5569325,10.3409176,LIVORNO,Livorno,Toscana,1
97sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=97,Hotel Atlantico,Alberghi,0586 752440,0586 752494,"Via Diego Martelli, 12",Rosignano Marittimo,LI,www.hotelatlantico.it,info@hotelatlantico.it,Riscaldamento;Aria Condizionata;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio Parcheggio;Trasporto Clienti Stazione;Propria Piscina Scop,3,43.4048724,10.408996,ROSIGNANO MARITTIMO,Livorno,Toscana,1
100sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=100,Elba Hotel,Alberghi,0586 760939,0586 760915,"Via Aurelia, 301",Rosignano Marittimo,LI,www.elbahotel.net,info@elbahotel.net,Riscaldamento;Aria Condizionata;Ascensore;Bar;Telefono in camera;Asciugacapelli;Servizio Fax;Tv Satellitare;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Accettazione Animali;Proprio Parcheggio;Trasporto Clienti Stazione;Carta di Credito;Bancomat;Servi,3,43.3882979,10.4375479,ROSIGNANO MARITTIMO,Livorno,Toscana,1
109sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=109,Hotel Park,Alberghi,0586 752229,0586 758098,"Via F. Fellini, 19",Rosignano Marittimo,LI,www.hotel-park.it,info@hotel-park.it,Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Carta di Credito;Servizio Baby Sitting,3,43.4039497,10.4079636,ROSIGNANO MARITTIMO,Livorno,Toscana,1
110sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=110,Piccolo Hotel,Alberghi,0586 760145,0586 763891,"Via G. Rossini, 5",Rosignano Marittimo,LI,www.hotelrosignano.it,info@hotelrosignano.it,Aria Condizionata;Bar;Ristorante;Carta di Credito,1,43.3917155,10.4311186,ROSIGNANO MARITTIMO,Livorno,Toscana,1
132sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=132,Riva Degli Etruschi,Alberghi,0565 7199,0565 704011,"Via Della Principessa, 120",San Vincenzo,LI,www.rivadeglietruschi.it,info@rivadeglietruschi.it,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Bar;Telefono in camera;Cassette di Sicurezza in Camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Wi-Fi;Parco o Giardino Proprio;Ristorante;Proprio Parcheggio;Propria Piscina Scopert,3,43.0728065343,10.5376911163,SAN VINCENZO,Livorno,Toscana,1
134sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=134,Stella Marina,Alberghi,0565 704256,0565 701730,"Via A. Costa, 9",San Vincenzo,LI,www.stellamarina.it,info@stellamarina.it,Aria Condizionata;Bar;Ristorante;Carta di Credito;Propria Autorimessa,3,43.0968281,10.5383299,SAN VINCENZO,Livorno,Toscana,1
139sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=139,Hotel Aurora,Alberghi,0565 704465,0565 705849,"Via Abruzzo, 4",San Vincenzo,LI,www.hotel-aurora-mare.com,info@hotel-aurora-mare.com,Aria Condizionata;Bar;Accettazione Animali;Proprio Parcheggio;Carta di Credito,3,43.0875153241,10.5384099483,SAN VINCENZO,Livorno,Toscana,1
141sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=141,Hotel La Selva,Alberghi,0565 794239,0565 794777,"Via Delle Fornaci, 32 - Madonnina",Sassetta,LI,www.hotellaselva.it,hotel.selva@tiscali.it,Riscaldamento;Bar;Telefono in camera;Servizio Fax;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Mountain Bike;Carta di Credito;Bancomat;Giochi per Bambini;Servizio Colazione in Camera;Accettazione Gruppi;Accesso con Vett,2,43.1291462,10.6432402,SASSETTA,Livorno,Toscana,1
145sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=145,La Dolce Vita,Residence,0565 29390,0565 852006,"Via Di Venturina, 18",Campiglia Marittima,LI,www.dolcevita.li.it,info@dolcevita.li.it,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Vendita prodotti agricoli;Servizio Fax;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Accettazione Animali;Proprio Parcheggio;Trasporto Clienti Stazione;Propria Piscina Scoperta;Carta di Cred,2,43.0550995847,10.6151103973,CAMPIGLIA MARITTIMA,Livorno,Toscana,1
146sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=146,Campastrello Sport,Residence,0565 765128,0565 765066,"Via Di Campastrello, 1",Castagneto Carducci,LI,www.campastrellosport.it,info@campastrellosport.it,Aria Condizionata;Bar;Ristorante;Accettazione Animali;Proprio Parcheggio;Propria Piscina Scoperta;Carta di Credito,3,43.1646687,10.5971361,CASTAGNETO CARDUCCI,Livorno,Toscana,1
153sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=153,Erba Di Campo,Residence,0586 578383,0586 576182,"Via Di Quarrata, 4 - Castellaccio Montenero",Livorno,LI,www.erbadicampo.com,info@erbadicampo.com,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Frigo Bar;Servizio Fax;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio Parcheggio;Propria Piscina Scoperta;Carta di Credito;Bancomat;Accettazione Gruppi;Accesso con Vetture Pr,2,43.4799306,10.3787331,LIVORNO,Livorno,Toscana,1
157sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=157,Baia Etrusca,Residence,0565 21070,0565 20947,Loc. Torre Mozza - Vignale Riotorto,Piombino,LI,www.baiaetrusca.it,residencebaiaetrusca@virgilio.it,Accessibilit&agrave; Disabili;Bar;Frigo Bar;Servizio Fax;Tv Satellitare;Accesso Internet;Parco o Giardino Proprio;Ristorante;Proprio Parcheggio;Propria Piscina Scoperta;Proprio Campo da Tennis;Mountain Bike;Carta di Credito;Spiaggia Privata;Giochi per Ba,2,42.9438578097,10.7037734985,PIOMBINO,Livorno,Toscana,1
170sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=170,Santa Cecilia,Residence,0565 705457,0565 705905,"Via Vittorio Emanuele Ii, N. 129",San Vincenzo,LI,www.residencesantacecilia.it,info@residencesantacecilia.it,Riscaldamento;Ascensore;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Servizio Fax;Accesso Internet;Wi-Fi;Accettazione Animali;Proprio Parcheggio;Propria Piscina Coperta;Carta di Credito;Servizio Baby Sitting;Servizio Colazione in Camera;Accettazione G,3,43.1029308,10.5393731,SAN VINCENZO,Livorno,Toscana,1
175sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=175,Tos'camere Papillon,Affittacamere,0565 838129,0565 838129,"Via Guerrazzi, 11",Campiglia Marittima,LI,www.toscamere.it,info@toscamere.it,Riscaldamento;Asciugacapelli;Accettazione Animali;Accesso con Vetture Private;Degustazione;Spazio attrezzato per il consumo di alimenti o bevande (Escluso Ristorante);Lampada Esterna;Accesso con Mezzi Pubblici;Colazione Compresa;Locale tv separato,0,43.059823,10.620759,CAMPIGLIA MARITTIMA,Livorno,Toscana,1
182sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=182,La Fucinaia,Affittacamere,0565 838358,0565 837721,"Via Di San Vincenzo, 48",Campiglia Marittima,LI,www.fucinaia.it,info@fucinaia.it,Proprio Parcheggio;Carta di Credito,0,43.0742720862,10.6033623219,CAMPIGLIA MARITTIMA,Livorno,Toscana,1
187sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=187,Affittacamere La Mimosa Di Persico Silvia,Affittacamere,0565 749644,0565 749644,"Loc. Osteria Vecchia, 146/d",Castagneto Carducci,LI,www.mimosabolgheri.com,info@mimosabolgheri.com,Asciugacapelli;Tv Satellitare;Parco o Giardino Proprio;Proprio Parcheggio;Propria Piscina Scoperta;Accettazione Gruppi;Accesso con Vetture Private;Cucina di Uso Comune;Lampada Esterna,0,43.1646687,10.5971361,CASTAGNETO CARDUCCI,Livorno,Toscana,1
190sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=190,Camere La Polena,Affittacamere,0565 773243,0565 773243,"Via Firenze, 1/a",Castagneto Carducci,LI,www.camerelapolena.it,info@camerelapolena.it,Aria Condizionata;Accettazione Animali;Accesso con Vetture Private;Accesso con Mezzi Pubblici,0,43.1762236,10.5400405,CASTAGNETO CARDUCCI,Livorno,Toscana,1
193sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=193,Villa Le Luci,Affittacamere,0565 763601,,"Via Umberto I, 47",Castagneto Carducci,LI,www.villaleluci.it,info@villaleluci.it,Riscaldamento;Aria Condizionata;Vendita prodotti agricoli;Frigo Bar;Asciugacapelli;Servizio Fax;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Proprio Parcheggio;Carta di Credito;Bancomat;Lavatura e Stiratura Biancheria;Accesso con Vetture Private;Sommi,0,43.1600122,10.6064309,CASTAGNETO CARDUCCI,Livorno,Toscana,1
213sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=213,La Casa Di Ulisse B & B,Affittacamere,0586 492052,0586 491214,"Via Vitalba, 3/5",Livorno,LI,lacasadiulisse.lorsamaggiore.com,lacasadiulisse@lorsamaggiore.com,Aria Condizionata;Accettazione Animali;Carta di Credito,0,43.4652546013,10.3648710251,LIVORNO,Livorno,Toscana,1
253sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=253,Podere Vignanova,Alloggi Privati,3665063867,0565 774310,"Loc. Vigna Nuova, 56",Castagneto Carducci,LI,www.poderevignanova.com,info@poderevignanova.com,Aria Condizionata;Proprio Parcheggio;Carta di Credito,0,43.1646687,10.5971361,CASTAGNETO CARDUCCI,Livorno,Toscana,1
263sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=263,Villa Panicucci B & B,Alloggi Privati,0586 579398,0586 579398,"Via Del Pino, 214 - Montenero",Livorno,LI,www.villapanicucci.blogspot.com,gianfrancomessina@virgilio.it,Accettazione Animali,0,43.499014,10.3528231,LIVORNO,Livorno,Toscana,1
269sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=269,Casa Anna,Alloggi Privati,329 2116854,,"Via Silvestro Lega, 11 - - Antignano",Livorno,LI,,casaannalivorno@gmail.com,Ascensore;Frigo Bar;Asciugacapelli;Accesso Internet;Servizio Baby Sitting;Accesso con Vetture Private;Trekking;Macchine Lavatrici per biancheria;Cucina di Uso Comune;Accesso con Mezzi Pubblici;Sala Televisione,0,43.5045741,10.3230119,LIVORNO,Livorno,Toscana,1
299sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=299,La Casa Di Letizia,Alloggi Privati,3288228323,,"Via Don Minzoni, 41",Suvereto,LI,,elisa.12@inwind.it,Riscaldamento;Asciugacapelli;Somministrazione Alimenti;Colazione Compresa,0,43.079170067,10.6754815578,SUVERETO,Livorno,Toscana,1
316sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=316,Il Palazzino,Agriturismi,0586 670330,0586 670330,"Frazione Bibbona, 27 - Il Palazzino",Bibbona,LI,www.ilpalazzino.com,info@ilpalazzino.com,Accettazione Animali,3,43.2694489,10.5952101,BIBBONA,Livorno,Toscana,1
319sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=319,Nonna Stella,Agriturismi,0586 600026,0586 600026,"Via Campigliese, 8",Bibbona,LI,www.nonnastella.it,info@nonnastella.it,Accettazione Animali;Propria Piscina Scoperta;Carta di Credito,3,43.2527872,10.5765232,BIBBONA,Livorno,Toscana,1
320sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=320,Agriturismo De Fanti,Agriturismi,3474807119,0586 635468,"Via Dierne, 38",Bibbona,LI,,agriturismo.defanti@alice.it,Accessibilit&agrave; Disabili;Riscaldamento;Vendita prodotti agricoli;Tv Satellitare;Parco o Giardino Proprio;Proprio Parcheggio;Propria Piscina Scoperta;Propria Autorimessa;Giochi per Bambini;Servizio Baby Sitting;Lavatura e Stiratura Biancheria;Accetta,2,43.2742601,10.5891722,BIBBONA,Livorno,Toscana,1
324sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=324,Podere Sant'elena,Agriturismi,0586 671071,0586 671882,Via Campo Di Sasso - Sant'elena,Bibbona,LI,www.tenutagardini.it,tenutagardini@gmail.com,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Bar;Telefono in camera;Frigo Bar;Asciugacapelli;Servizio Fax;Tv Satellitare;Wi-Fi;Parco o Giardino Proprio;Proprio Parcheggio;Propria Piscina Scoperta;Mountain Bike;Carta di Credito;Servizio C,3,43.2672688155,10.6142520905,BIBBONA,Livorno,Toscana,1
332sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=332,Villa Toscana,Agriturismi,0565 853462,0565 853462,Via Dei Granai,Campiglia Marittima,LI,www.villatoscanavacanze.it,info@villatoscanavacanze.it,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Vendita prodotti agricoli;Cassette di Sicurezza in Camera;Asciugacapelli;Tv Satellitare;Parco o Giardino Proprio;Accettazione Animali;Proprio Parcheggio;Propria Piscina Scoperta;Mountain Bike;,3,43.0288707377,10.5633115768,CAMPIGLIA MARITTIMA,Livorno,Toscana,1
336sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=336,Azienda Agrituristica Diciocco,Agriturismi,0565 850106,,"Via Polledraia, 2",Campiglia Marittima,LI,www.diciocco.it,info@diciocco.it,Accessibilit&agrave; Disabili;Riscaldamento;Vendita prodotti agricoli;Asciugacapelli;Tv Satellitare;Wi-Fi;Parco o Giardino Proprio;Accettazione Animali;Proprio Parcheggio;Mountain Bike;Giochi per Bambini;Accesso con Vetture Private;Macchine Lavatrici per,3,43.03621124,10.5891680717,CAMPIGLIA MARITTIMA,Livorno,Toscana,1
340sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=340,Agriturismo L'oliveto,Agriturismi,0565 846534,0565 855438,"Via Aurelia Nord, 80 - Palmentello",Campiglia Marittima,LI,www.olivetoagriturismo.it,info@olivetoagriturismo.it,Accettazione Animali,2,43.060321,10.6144677,CAMPIGLIA MARITTIMA,Livorno,Toscana,1
365sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=365,Casa Mirella,Agriturismi,0565 763628,0565 744028,"Loc. Vallone Di Segalari, 185",Castagneto Carducci,LI,www.quattropini.it,info@quattropini.it,Proprio Parcheggio,1,43.1646687,10.5971361,CASTAGNETO CARDUCCI,Livorno,Toscana,1
368sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=368,La Rondine,Agriturismi,0565 749638,0565 749638,"Via Campo Al Noce, 151",Castagneto Carducci,LI,www.agriturismolarondine.it,info@agriturismolarondine.it,Accettazione Animali,3,43.2219246458,10.5811160803,CASTAGNETO CARDUCCI,Livorno,Toscana,1
371sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=371,Quattro Pini,Agriturismi,0565 763628,0565 744028,"Loc. Campastrello, 274",Castagneto Carducci,LI,www.quattropini.it,info@quattropini.it,Accessibilit&agrave; Disabili;Riscaldamento;Vendita prodotti agricoli;Asciugacapelli;Tv Satellitare;Parco o Giardino Proprio;Proprio Parcheggio;Carta di Credito;Bancomat;Giochi per Bambini;Accettazione Gruppi;Accesso con Vetture Private;Degustazione;Macc,2,43.1646687,10.5971361,CASTAGNETO CARDUCCI,Livorno,Toscana,1
394sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=394,Campo Al Sole,Agriturismi,0586 969007,0586 899764,"Via Le Corti, 50 - - Castell'anselmo",Collesalvetti,LI,www.agriturismocampoalsole.it,agricampoalsole@gmail.com,Accessibilit&agrave; Disabili;Riscaldamento;Aria Condizionata;Accesso Internet;Wi-Fi;Parco o Giardino Proprio;Ristorante;Accettazione Animali;Proprio Parcheggio;Accesso con Vetture Private;Somministrazione Alimenti;Radio Telefono,2,0.0,0.0,COLLESALVETTI,Livorno,Toscana,1
395sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=395,Azienda Agrituristica La Tanna,Agriturismi,0586 962856,0586 962856,"Via Tanna Bassa, 84",Collesalvetti,LI,www.agriturismolatanna.com,info@agriturismolatanna.com,Propria Piscina Scoperta,3,43.5952161,10.4568388,COLLESALVETTI,Livorno,Toscana,1
403sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=403,Dolci Ricordi Di Campanelli Livia Pagni,Agriturismi,3392585090,0586 860861,"Via Guadalayara, 134",Livorno,LI,,dolci.ricordi@tiscali.it,Vendita prodotti agricoli;Wi-Fi;Accettazione Animali;Proprio Parcheggio;Giochi per Bambini;Macchine Lavatrici per biancheria;Cucina di Uso Comune,3,43.5260841,10.3503455,LIVORNO,Livorno,Toscana,1
404sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=404,I Cinque Lecci,Agriturismi,0586 578111,0586 578111,"Via Di Quercianella, 168 - Castellaccio Montenero",Livorno,LI,www.i5lecci.it,agriturismo@i5lecci.it,,3,43.4814919996,10.3663086891,LIVORNO,Livorno,Toscana,1
442sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=442,Le Biricoccole,Agriturismi,0586 788394,0586 788394,"Via Aurelia, 200",Rosignano Marittimo,LI,www.biricoccole.it,biricoccole@biricoccole.it,Accettazione Animali;Carta di Credito,3,43.362746,10.452651,ROSIGNANO MARITTIMO,Livorno,Toscana,1
444sr,http://www.turismo.intoscana.it/booking/html/mappa.php?id=444,Pane E Vino,Agriturismi,0586 742470,0586 742470,"Loc. Pane E Vino, 237 - Pane E Vino, 237 - Gabbro",Rosignano Marittimo,LI,www.agriturismopaneevino.com,info@agriturismopaneevino.com,Accettazione Animali;Propria Piscina Scoperta;Carta di Credito,3,43.405624,10.473952,ROSIGNANO MARITTIMO,Livorno,Toscana,1
